"chromosome" "start" "end"
"592" "chr17" 80026016 80028021
"718" "chr3" 122811667 122815903
"571" "chr17" 46701399 46766385
"1286" "chr8" 130666469 130821371
"856" "chr5" 134010459 134074276
"252" "chr11" 69375255 69392826
"1242" "chr8" 128275407 128298028
"817" "chr5" 65804460 65827081
"893" "chr6" 38241871 38249259
"1111" "chr8" 122147753 122159580
"264" "chr11" 102013862 102017675
"711" "chr3" 105762415 105772678
"541" "chr17" 23693736 23701093
"475" "chr16" 11114181 11134625
"1197" "chr8" 126177828 126187780
"1295" "chr8" 131248095 131257097
"952" "chr7" 26465798 26471577
"573" "chr17" 47874055 47926757
"70" "chr1" 120368348 120442036
"732" "chr4" 40867088 40878428
"385" "chr13" 101473269 101500878
"489" "chr16" 24973813 24981116
"447" "chr15" 72937290 73015239
"708" "chr3" 103820456 104023950
"996" "chr7" 117037294 117103936
"969" "chr7" 51723483 51727021
"1212" "chr8" 126892948 126957836
"487" "chr16" 24448176 24981116
"453" "chr15" 76456666 76470341
"572" "chr17" 46914466 46919605
"309" "chr12" 29360071 29367039
"1241" "chr8" 128275407 128298028
"903" "chr6" 56651056 56654677
"218" "chr11" 29273774 29410811
"100" "chr1" 133191564 133229647
"953" "chr7" 28018031 28042968
"720" "chr3" 137593969 137644513
"1253" "chr8" 129112197 129114990
"567" "chr17" 44325520 44417117
"180" "chr1" 193175859 193220920
"885" "chr6" 34253933 34267471
"861" "chr5" 137737694 137748894
"627" "chr19" 32463705 32465673
"1230" "chr8" 127941962 128016733
"534" "chr17" 10649081 10666989
"144" "chr1" 162602581 162723069
"556" "chr17" 28465543 28467976
"378" "chr13" 53062577 53068434
"296" "chr12" 8771706 8777987
"413" "chr14" 33476121 33498440
"1200" "chr8" 126329924 126359187
"1318" "chr9" 43875103 43903710
"796" "chr5" 35915144 35917709
"657" "chr2" 28763203 28771942
"746" "chr4" 104829951 104905372
"200" "chr10" 98761521 98885681
"705" "chr3" 96500391 96509885
"319" "chr12" 33639093 33661769
"283" "chr12" 5815022 5862948
"852" "chr5" 125868408 125870440
"429" "chr15" 8584123 8601506
"43" "chr1" 82721492 82748964
"112" "chr1" 135971441 135975732
"108" "chr1" 135142682 135198226
"545" "chr17" 24591809 24594046
"1243" "chr8" 128361506 128415055
"1086" "chr8" 109206967 109375339
"28" "chr1" 65233256 65252748
"559" "chr17" 34164147 34168635
"579" "chr17" 63408815 63842102
"1205" "chr8" 126547359 126572404
"443" "chr15" 59205801 59433236
"436" "chr15" 39702148 39775303
"235" "chr11" 62513857 62545407
"986" "chr7" 87239733 87243219
"509" "chr16" 84954687 85056771
"1221" "chr8" 127578094 127785051
"1274" "chr8" 129588144 130134730
"1144" "chr8" 123105165 123112975
"1211" "chr8" 126848677 126855695
"1198" "chr8" 126329924 126359187
"595" "chr17" 81841112 81844312
"843" "chr5" 121972839 121995901
"469" "chr16" 3905797 3908689
"145" "chr1" 162836600 162897985
"458" "chr15" 97614795 97623119
"297" "chr12" 8879995 8884265
"866" "chr5" 145002558 145017055
"109" "chr1" 135500458 135506840
"261" "chr11" 97564747 97574814
"1235" "chr8" 127941962 128016733
"102" "chr1" 133807110 133829549
"684" "chr3" 7366603 7445365
"1267" "chr8" 129372919 129375733
"462" "chr15" 98693206 98701616
"1217" "chr8" 127432485 127472154
"805" "chr5" 36883928 36925022
"1240" "chr8" 128258128 128272110
"178" "chr1" 188447526 188529868
"839" "chr5" 115236693 115255829
"199" "chr10" 94780880 94786992
"1264" "chr8" 129372919 129375733
"1249" "chr8" 129112197 129114990
"1289" "chr8" 130882920 131000515
"222" "chr11" 45869488 45960844
"213" "chr11" 3034628 3093466
"318" "chr12" 32860195 32893514
"375" "chr13" 38112779 38128938
"331" "chr12" 40732033 40763963
"931" "chr6" 108778634 108809350
"7" "chr1" 34347203 34365497
"73" "chr1" 121804477 121809745
"263" "chr11" 98442607 98448559
"76" "chr1" 122499063 122504568
"1016" "chr7" 128177958 128220349
"1215" "chr8" 127264156 127275709
"60" "chr1" 99666755 99689548
"970" "chr7" 54246067 54263579
"909" "chr6" 82675041 82724453
"4" "chr1" 34068669 34365497
"1190" "chr8" 125766255 125778076
"289" "chr12" 8505512 8505781
"30" "chr1" 66747466 66766379
"86" "chr1" 127457592 127492261
"482" "chr16" 22511552 22517754
"566" "chr17" 43938799 44176465
"920" "chr6" 91423744 91438452
"1166" "chr8" 124806040 124861147
"1260" "chr8" 129114584 129117306
"1258" "chr8" 129114584 129117306
"1071" "chr8" 98388036 98412265
"701" "chr3" 94641634 94684729
"1006" "chr7" 119809073 119823595
"1291" "chr8" 130882998 131027247
"1225" "chr8" 127941962 128016733
"280" "chr12" 5085899 5382488
"764" "chr5" 5736321 5749309
"997" "chr7" 117123503 117129799
"1053" "chr8" 47020002 47029499
"1246" "chr8" 128822478 128919877
"196" "chr10" 92711629 92773782
"355" "chr12" 73078617 73093354
"474" "chr16" 10783901 10785629
"916" "chr6" 87950428 87963692
"480" "chr16" 22059081 22121347
"974" "chr7" 71432555 71485692
"323" "chr12" 39510297 39594790
"175" "chr1" 184339297 184392567
"574" "chr17" 48073169 48073201
"536" "chr17" 12841740 12868704
"1131" "chr8" 122728333 122752130
"779" "chr5" 30444843 30481520
"1261" "chr8" 129114584 129117306
"313" "chr12" 32171765 32184405
"619" "chr19" 8883564 8893760
"1133" "chr8" 122728333 122752130
"666" "chr2" 72826302 72831790
"918" "chr6" 88855942 88862234
"570" "chr17" 46298019 46306317
"727" "chr4" 11103110 11118421
"466" "chr15" 99082218 99092473
"794" "chr5" 34679580 34696079
"520" "chr16" 87376895 87432851
"715" "chr3" 121977331 121988189
"312" "chr12" 32171765 32184405
"1247" "chr8" 128946427 128949334
"849" "chr5" 125483844 125492917
"1297" "chr9" 14267024 14304926
"995" "chr7" 109416337 109585369
"950" "chr7" 25689425 25711610
"548" "chr17" 26260476 26263558
"1319" "chr9" 43893002 43903710
"467" "chr15" 99608938 99650503
"75" "chr1" 122499063 122504568
"1196" "chr8" 125921712 125927712
"1060" "chr8" 71404456 71408402
"978" "chr7" 74378716 74413600
"977" "chr7" 74378716 74413600
"12" "chr1" 36587378 36592574
"226" "chr11" 59011294 59015887
"576" "chr17" 56156172 56175999
"6" "chr1" 34347203 34365497
"646" "chr19" 53384995 53450300
"680" "chr2" 158620555 158683950
"524" "chr17" 4119445 4122113
"424" "chr14" 79881000 79982283
"1027" "chr7" 134890288 134912442
"1317" "chr9" 41772806 41776550
"943" "chr7" 17500727 17509381
"400" "chr14" 22665082 22668132
"623" "chr19" 24335942 24355076
"836" "chr5" 108550665 108561610
"788" "chr5" 33361539 33370615
"1303" "chr9" 21393125 21397190
"924" "chr6" 92876224 92893472
"532" "chr17" 10649081 10666989
"887" "chr6" 36159619 36337956
"65" "chr1" 107926974 107930651
"1127" "chr8" 122669102 122687318
"57" "chr1" 95270472 95300079
"611" "chr19" 5038825 5049917
"1128" "chr8" 122669102 122687318
"747" "chr4" 106851296 106873592
"1061" "chr8" 71404456 71408402
"389" "chr14" 21139360 21167306
"1214" "chr8" 127100010 127142622
"316" "chr12" 32391731 32398744
"352" "chr12" 70342818 70384948
"336" "chr12" 45953472 46175470
"20" "chr1" 52240947 52289836
"690" "chr3" 40870260 40886924
"933" "chr6" 113328108 113339643
"315" "chr12" 32280218 32319462
"161" "chr1" 173207122 173211317
"1178" "chr8" 125299477 125304535
"290" "chr12" 8504564 8506791
"865" "chr5" 143516533 143579066
"1323" "chr9" 44494390 44509791
"1014" "chr7" 127986396 128047515
"795" "chr5" 35003027 35097952
"521" "chr16" 87496317 87504278
"248" "chr11" 68933954 68936761
"833" "chr5" 93696282 93705250
"162" "chr1" 173218694 173225113
"176" "chr1" 184414030 184422692
"858" "chr5" 136592606 136598809
"434" "chr15" 38765455 38782810
"451" "chr15" 75728535 75739770
"1103" "chr8" 120807654 121847348
"948" "chr7" 20501112 20506441
"845" "chr5" 122903522 122951904
"757" "chr4" 133234922 133309526
"821" "chr5" 73713437 73729878
"250" "chr11" 69040132 69050524
"267" "chr11" 106939833 106993236
"1219" "chr8" 127578094 127785051
"269" "chr11" 120650515 120657703
"643" "chr19" 47587471 47591068
"444" "chr15" 63920100 64144037
"367" "chr12" 99951599 99972804
"245" "chr11" 68859144 68865164
"1194" "chr8" 125874150 125893418
"132" "chr1" 138592787 138622305
"227" "chr11" 59784118 59850341
"247" "chr11" 68884312 68886794
"1008" "chr7" 120459157 120512853
"780" "chr5" 31357183 31380852
"274" "chr12" 3962553 4038915
"193" "chr10" 80482334 80488122
"38" "chr1" 79603456 79668538
"914" "chr6" 86578167 86579698
"522" "chr16" 87496317 87504278
"387" "chr13" 118495570 118508818
"1083" "chr8" 108042645 108047888
"59" "chr1" 97210320 97231642
"1175" "chr8" 125153890 125202075
"966" "chr7" 36119342 36177304
"101" "chr1" 133424565 133436449
"752" "chr4" 129190887 129193219
"709" "chr3" 104442590 104462385
"544" "chr17" 24488990 24547146
"523" "chr16" 94791616 94885468
"435" "chr15" 38765455 38782810
"383" "chr13" 89988525 90229128
"514" "chr16" 86770471 86806609
"103" "chr1" 134373956 134401465
"236" "chr11" 65091155 65101335
"618" "chr19" 7062400 7066762
"1088" "chr8" 109580776 109583145
"624" "chr19" 31157330 31161082
"1313" "chr9" 37456766 37464897
"452" "chr15" 76157826 76161100
"1189" "chr8" 125748740 125756154
"1020" "chr7" 133635224 133646816
"157" "chr1" 171907776 172040690
"600" "chr18" 11049928 11052565
"527" "chr17" 7002738 7032339
"1028" "chr7" 135020309 135027432
"650" "chr19" 55376503 55390522
"338" "chr12" 45953472 46175470
"940" "chr6" 134879109 134901588
"983" "chr7" 80885308 80921792
"743" "chr4" 88941083 89185312
"216" "chr11" 6425621 6428763
"1104" "chr8" 120807654 121847348
"816" "chr5" 65804460 65827081
"686" "chr3" 19544459 19591599
"1237" "chr8" 128108537 128149505
"744" "chr4" 97780642 97785534
"1192" "chr8" 125836182 125842476
"633" "chr19" 38126375 38129018
"964" "chr7" 31374699 31377961
"965" "chr7" 35985952 35988243
"823" "chr5" 74591350 74595502
"869" "chr5" 148672203 148687354
"53" "chr1" 93146895 93182602
"471" "chr16" 4594712 4615957
"781" "chr5" 31495676 31501273
"868" "chr5" 147766097 147775350
"1245" "chr8" 128822478 128919877
"281" "chr12" 5085899 5382488
"186" "chr10" 62383380 62409242
"79" "chr1" 122499063 122504568
"1181" "chr8" 125407220 125565897
"183" "chr1" 193801269 193809795
"141" "chr1" 157129312 157264574
"49" "chr1" 88241293 88256030
"214" "chr11" 3034628 3093466
"605" "chr18" 55104535 55152245
"1073" "chr8" 106750600 106772436
"160" "chr1" 173200518 173207026
"1003" "chr7" 117771182 117773333
"894" "chr6" 38331523 38377647
"1187" "chr8" 125717850 125725124
"562" "chr17" 35378814 35390627
"693" "chr3" 51287887 51300134
"386" "chr13" 103524477 103577529
"31" "chr1" 68089014 68118262
"1146" "chr8" 123192244 123198109
"990" "chr7" 88679239 88711867
"1265" "chr8" 129372919 129375733
"724" "chr3" 151936812 152003354
"293" "chr12" 8535288 8546351
"590" "chr17" 75404868 75791109
"800" "chr5" 36235967 36346571
"484" "chr16" 23114023 23127803
"415" "chr14" 51710870 51725815
"32" "chr1" 68086539 69154633
"563" "chr17" 35804683 35810627
"1220" "chr8" 127578094 127785051
"1270" "chr8" 129588144 130134730
"598" "chr18" 3507954 3516402
"584" "chr17" 73267665 73291282
"1079" "chr8" 107749204 107776951
"14" "chr1" 37501406 37552940
"585" "chr17" 73267665 73291282
"663" "chr2" 70803081 70856431
"656" "chr2" 28496762 28546687
"539" "chr17" 23693736 23701093
"154" "chr1" 170354572 170362389
"678" "chr2" 156668863 156688681
"508" "chr16" 84718525 84735426
"61" "chr1" 99830047 99873836
"146" "chr1" 163899318 163903566
"949" "chr7" 25184646 25207796
"1299" "chr9" 20678252 20684154
"874" "chr5" 149931140 149995639
"976" "chr7" 74391423 74395004
"329" "chr12" 40732033 40763963
"417" "chr14" 54989127 55028297
"700" "chr3" 94288248 94296115
"1262" "chr8" 129114584 129117306
"890" "chr6" 36665662 36761361
"438" "chr15" 57939635 57966637
"535" "chr17" 10649081 10666989
"46" "chr1" 83261701 83404741
"58" "chr1" 95302516 95375385
"1216" "chr8" 127316991 127358604
"1316" "chr9" 41390022 41390044
"863" "chr5" 139947169 139960342
"706" "chr3" 97705149 97726241
"502" "chr16" 45747822 45844491
"82" "chr1" 122499063 122504568
"363" "chr12" 88288360 88304755
"651" "chr19" 56394531 56464525
"374" "chr13" 29124262 29126901
"1306" "chr9" 24913883 24914951
"342" "chr12" 45953472 46175470
"346" "chr12" 45953472 46175470
"980" "chr7" 80536112 80564783
"1036" "chr8" 11198430 11312730
"376" "chr13" 42147389 42280395
"1320" "chr9" 44134927 44141683
"1199" "chr8" 126329924 126359187
"655" "chr2" 27395948 27401608
"882" "chr6" 30846980 30865573
"879" "chr6" 17257722 17291324
"88" "chr1" 128768779 128773166
"50" "chr1" 88322904 88324615
"1308" "chr9" 25289181 25411695
"392" "chr14" 21493564 21514072
"498" "chr16" 34152110 34263286
"888" "chr6" 36337380 36338917
"1263" "chr8" 129372919 129375733
"411" "chr14" 29718128 30535050
"98" "chr1" 132950280 132994120
"610" "chr19" 5038825 5049917
"799" "chr5" 36235967 36346571
"565" "chr17" 37086231 37088629
"1223" "chr8" 127941962 128016733
"859" "chr5" 136592606 136598809
"310" "chr12" 30859858 30928216
"659" "chr2" 30678617 30683820
"892" "chr6" 37480172 37518394
"910" "chr6" 82675041 82724453
"628" "chr19" 34625435 34651013
"505" "chr16" 59491921 59525440
"1255" "chr8" 129114584 129117306
"217" "chr11" 16835157 16851121
"951" "chr7" 26091126 26101214
"787" "chr5" 33171325 33196879
"1304" "chr9" 21420612 21507811
"326" "chr12" 40732033 40763963
"164" "chr1" 173996228 174012825
"552" "chr17" 26975609 26978510
"1109" "chr8" 121961061 121970156
"945" "chr7" 19930454 19941871
"1050" "chr8" 41365110 41372061
"994" "chr7" 104728415 104731510
"66" "chr1" 108621478 108656228
"1042" "chr8" 26060098 26127260
"320" "chr12" 33832644 34013698
"1041" "chr8" 23897826 23916076
"1043" "chr8" 26277986 26311921
"761" "chr5" 3596065 3637101
"402" "chr14" 23403627 23875307
"1193" "chr8" 125856612 125893418
"1300" "chr9" 20698792 20703034
"1100" "chr8" 120315544 120325829
"979" "chr7" 74409750 74517744
"985" "chr7" 87239733 87243219
"639" "chr19" 46227047 46361000
"181" "chr1" 193641274 193643421
"745" "chr4" 99768395 100115150
"130" "chr1" 137740354 137748837
"1269" "chr8" 129487735 129494979
"1203" "chr8" 126547359 126572404
"507" "chr16" 70314331 70569961
"569" "chr17" 45704726 45710210
"18" "chr1" 43245963 43246603
"517" "chr16" 87354429 87368894
"1155" "chr8" 124114367 124121947
"741" "chr4" 80480116 80497622
"653" "chr2" 18127959 18314134
"504" "chr16" 52032329 52208159
"1119" "chr8" 122434751 122481457
"1228" "chr8" 127941962 128016733
"285" "chr12" 5815022 5862948
"1049" "chr8" 36887765 36889613
"442" "chr15" 59085453 59085486
"1256" "chr8" 129114584 129117306
"632" "chr19" 37624907 37757739
"1037" "chr8" 11555854 11563250
"359" "chr12" 86814850 86818219
"182" "chr1" 193801269 193809795
"691" "chr3" 41368846 41420779
"340" "chr12" 45953472 46175470
"1078" "chr8" 107138046 107148161
"960" "chr7" 29955228 29958952
"704" "chr3" 94836626 94846467
"722" "chr3" 145883948 145949150
"373" "chr13" 23622918 23623388
"198" "chr10" 93661753 93683693
"589" "chr17" 75404868 75791109
"364" "chr12" 88607677 88614902
"39" "chr1" 82233184 82287991
"124" "chr1" 137221389 137264642
"529" "chr17" 7464984 7490383
"1281" "chr8" 130666469 130821371
"993" "chr7" 96656294 96666096
"291" "chr12" 8518006 8569487
"902" "chr6" 51473899 51540669
"1098" "chr8" 119733962 119733996
"901" "chr6" 49193919 49214051
"1165" "chr8" 124530990 124549969
"1163" "chr8" 124440043 124468812
"1336" "chr9" 119923382 119928937
"738" "chr4" 57581153 57730000
"1305" "chr9" 22030214 22047798
"668" "chr2" 76638539 76679446
"1232" "chr8" 127941962 128016733
"347" "chr12" 45953472 46175470
"729" "chr4" 12834004 12908618
"1114" "chr8" 122223908 122281618
"299" "chr12" 10376849 10396975
"488" "chr16" 24448176 24981116
"279" "chr12" 5085899 5382488
"42" "chr1" 82583495 82718634
"445" "chr15" 72342548 72376709
"478" "chr16" 16213437 16272805
"1001" "chr7" 117771182 117773333
"152" "chr1" 167522311 167531995
"209" "chr10" 122382139 122382819
"1280" "chr8" 130666469 130821371
"864" "chr5" 140299547 140302797
"1122" "chr8" 122526625 122575308
"603" "chr18" 16747517 16967755
"339" "chr12" 45953472 46175470
"824" "chr5" 77020739 77075491
"612" "chr19" 5366812 5371511
"17" "chr1" 43179918 43220806
"818" "chr5" 72691264 72895447
"357" "chr12" 79989683 80007937
"34" "chr1" 74440897 74440919
"1210" "chr8" 126755293 126869622
"825" "chr5" 77516014 77524280
"461" "chr15" 98693206 98701616
"208" "chr10" 120218156 120335908
"769" "chr5" 23031313 23122389
"439" "chr15" 58884302 58913544
"169" "chr1" 180728568 180862983
"685" "chr3" 8509526 8561604
"406" "chr14" 26406289 26410147
"362" "chr12" 87423512 87503406
"335" "chr12" 40764916 40766612
"1072" "chr8" 104794408 104836487
"734" "chr4" 45436147 45495674
"431" "chr15" 32107043 32108049
"81" "chr1" 122499063 122504568
"174" "chr1" 182781281 182798245
"115" "chr1" 136007818 136048013
"276" "chr12" 4599813 4720758
"1327" "chr9" 95361395 95412415
"658" "chr2" 28980511 29037991
"810" "chr5" 52508551 52509762
"742" "chr4" 81936076 81941365
"1108" "chr8" 121868437 121872829
"819" "chr5" 73305611 73370063
"838" "chr5" 114550341 114572933
"1173" "chr8" 125102140 125135241
"664" "chr2" 70802620 70893584
"327" "chr12" 40732033 40763963
"878" "chr6" 17026261 17121833
"568" "chr17" 44914119 45256233
"69" "chr1" 120285634 120506039
"135" "chr1" 152409631 152840565
"1287" "chr8" 130666469 130821371
"19" "chr1" 45852345 45880458
"303" "chr12" 11209294 11211215
"497" "chr16" 34013055 34097176
"123" "chr1" 137043410 137052845
"1117" "chr8" 122295440 122302316
"1226" "chr8" 127941962 128016733
"551" "chr17" 26761127 26780827
"1307" "chr9" 25289181 25411695
"681" "chr2" 165315611 165318814
"1139" "chr8" 123012765 123105277
"1021" "chr7" 133792884 133816293
"526" "chr17" 5040579 5127640
"391" "chr14" 21327113 21365766
"1158" "chr8" 124320229 124353469
"1321" "chr9" 44412979 44441499
"1110" "chr8" 122136646 122140824
"207" "chr10" 120202787 120215942
"468" "chr15" 99803210 99846789
"735" "chr4" 53453528 53635350
"634" "chr19" 40296728 40346023
"1272" "chr8" 129588144 130134730
"616" "chr19" 6075902 6077187
"531" "chr17" 10403044 10511758
"601" "chr18" 11816350 11901716
"1059" "chr8" 64542217 64601915
"694" "chr3" 51976083 51983893
"923" "chr6" 92890362 93222971
"1074" "chr8" 106864493 106871572
"446" "chr15" 72937290 73015239
"395" "chr14" 21748654 21852895
"1044" "chr8" 29762521 30330108
"483" "chr16" 23107828 23114019
"228" "chr11" 59953583 60012697
"792" "chr5" 34349846 34512097
"255" "chr11" 76627896 76660510
"1290" "chr8" 130882998 131027247
"204" "chr10" 108136272 108137148
"554" "chr17" 27993451 28036985
"1070" "chr8" 97362316 97378795
"230" "chr11" 60553560 60590789
"80" "chr1" 122499063 122504568
"1151" "chr8" 123651584 123654544
"871" "chr5" 149076792 149125658
"155" "chr1" 171440249 171461595
"717" "chr3" 122433139 122479343
"1081" "chr8" 107811813 107813762
"106" "chr1" 135027920 135033805
"673" "chr2" 113880131 113887199
"826" "chr5" 77894512 77897876
"802" "chr5" 36235967 36346571
"638" "chr19" 45868159 45886781
"654" "chr2" 26809082 26819906
"1171" "chr8" 125091914 125097030
"1311" "chr9" 31653628 31720870
"560" "chr17" 34738043 34740506
"846" "chr5" 122964028 122969608
"1153" "chr8" 124075915 124102691
"1208" "chr8" 126755293 126869622
"128" "chr1" 137503023 137584682
"1035" "chr7" 150699483 150734733
"671" "chr2" 101464904 101472685
"555" "chr17" 28314362 28342829
"749" "chr4" 115705446 115726481
"47" "chr1" 84836429 84897059
"772" "chr5" 23870636 23890289
"22" "chr1" 59573107 59691353
"1234" "chr8" 127941962 128016733
"1229" "chr8" 127941962 128016733
"675" "chr2" 127012090 127033990
"775" "chr5" 24098439 24107820
"71" "chr1" 121312041 121318825
"631" "chr19" 36422943 36530694
"345" "chr12" 45953472 46175470
"1080" "chr8" 107788637 107793225
"496" "chr16" 31258136 31275363
"430" "chr15" 12373085 12375420
"834" "chr5" 96639133 96695728
"1113" "chr8" 122223908 122281618
"472" "chr16" 4639993 4650787
"476" "chr16" 11193129 11203385
"1202" "chr8" 126364743 126383430
"1090" "chr8" 109689814 109711370
"707" "chr3" 101380145 101408580
"105" "chr1" 134886421 134921925
"1285" "chr8" 130666469 130821371
"440" "chr15" 58884302 58913544
"1082" "chr8" 107836239 107850176
"1030" "chr7" 142383447 142387685
"404" "chr14" 26278777 26484195
"777" "chr5" 24368574 24501571
"334" "chr12" 40764916 40766612
"716" "chr3" 121977331 121988189
"1244" "chr8" 128519069 128554585
"881" "chr6" 30316387 30332687
"324" "chr12" 39510297 39594790
"553" "chr17" 27792626 27848051
"249" "chr11" 68939878 68962616
"930" "chr6" 108527032 108610928
"258" "chr11" 86497484 86505959
"645" "chr19" 53384995 53450300
"754" "chr4" 129497464 129527219
"984" "chr7" 87065640 87067407
"773" "chr5" 23899973 23915765
"728" "chr4" 11204010 11249278
"153" "chr1" 170266121 170267450
"840" "chr5" 117813530 117828598
"351" "chr12" 56499883 56519438
"366" "chr12" 91991647 92208238
"1236" "chr8" 128108537 128149505
"232" "chr11" 61466822 61486279
"273" "chr12" 3807159 3914443
"803" "chr5" 36235967 36346571
"1172" "chr8" 125091957 125097030
"140" "chr1" 156944655 156946766
"349" "chr12" 53604958 53646626
"1333" "chr9" 116852240 117160693
"581" "chr17" 65929394 65962881
"27" "chr1" 64835694 65003398
"1048" "chr8" 36645625 36652026
"240" "chr11" 66025230 66339628
"884" "chr6" 32461147 32465576
"450" "chr15" 74938590 74942379
"1177" "chr8" 125299404 125341781
"1062" "chr8" 71594153 71599407
"1123" "chr8" 122526625 122575308
"94" "chr1" 129693147 129701414
"96" "chr1" 129850762 129998985
"1204" "chr8" 126547359 126572404
"116" "chr1" 136186589 136189125
"731" "chr4" 24825247 24832148
"292" "chr12" 8518006 8569487
"697" "chr3" 63737430 63768655
"518" "chr16" 87354429 87368894
"913" "chr6" 85083678 85087812
"2" "chr1" 33510655 33726603
"1186" "chr8" 125717850 125725124
"841" "chr5" 119173996 119215446
"441" "chr15" 59085453 59085486
"259" "chr11" 94189314 94203161
"1174" "chr8" 125135545 125139489
"511" "chr16" 85794072 85803344
"1047" "chr8" 34914428 35040313
"388" "chr14" 20630623 20643045
"648" "chr19" 53751795 53918253
"988" "chr7" 88138569 88187581
"860" "chr5" 137437957 137442102
"961" "chr7" 30693241 30701826
"396" "chr14" 21895373 22267768
"448" "chr15" 73173562 73253710
"786" "chr5" 32761632 32819806
"301" "chr12" 10376849 10396975
"926" "chr6" 97160785 97183309
"74" "chr1" 122009856 122017496
"904" "chr6" 56664920 56711905
"223" "chr11" 48619905 48630893
"158" "chr1" 172574963 172612920
"905" "chr6" 56739162 56747730
"957" "chr7" 29581990 29583980
"117" "chr1" 136193361 136201385
"1000" "chr7" 117365274 117427020
"294" "chr12" 8680939 8757145
"311" "chr12" 31269335 31276085
"1250" "chr8" 129112197 129114990
"895" "chr6" 38383037 38383783
"992" "chr7" 89556983 89614354
"557" "chr17" 30142031 30346965
"793" "chr5" 34519228 34530359
"1125" "chr8" 122526625 122575308
"167" "chr1" 177592558 177622721
"829" "chr5" 92435100 92466400
"1251" "chr8" 129112197 129114990
"206" "chr10" 120202787 120215942
"1224" "chr8" 127941962 128016733
"238" "chr11" 65091155 65101335
"661" "chr2" 34707608 34726482
"195" "chr10" 92711629 92773782
"1065" "chr8" 74116082 74124991
"512" "chr16" 85794072 85803344
"919" "chr6" 90416405 90425203
"594" "chr17" 81841112 81844312
"1142" "chr8" 123061328 123105277
"688" "chr3" 21975573 22115516
"361" "chr12" 87087488 87154535
"801" "chr5" 36235967 36346571
"138" "chr1" 156910652 156930394
"956" "chr7" 29161802 29164247
"371" "chr12" 112079238 112082014
"243" "chr11" 68859144 68865164
"256" "chr11" 80174700 80191498
"609" "chr19" 4984354 4989972
"397" "chr14" 22320106 22483970
"63" "chr1" 106665395 106892058
"189" "chr10" 69248261 69321268
"1091" "chr8" 109729220 109736351
"719" "chr3" 122811667 122815903
"368" "chr12" 101426177 101431748
"1095" "chr8" 113443821 113495457
"947" "chr7" 20286673 20300774
"597" "chr17" 81772444 82137717
"457" "chr15" 85637401 85642089
"365" "chr12" 91991647 92208238
"1209" "chr8" 126755293 126869622
"784" "chr5" 31871967 31873770
