"chromosome" "gene.start" "gene.end"
"34422" "chr4" 118949931 118967118
"50946" "chr8" 98201984 98238856
"623" "chr1" 64088499 64168000
"14753" "chr14" 70190199 70205164
"19170" "chr16" 52251025 52454187
"29548" "chr2" 163163508 163223686
"52253" "chr8" 124320229 124353469
"26065" "chr19" 53524693 53528626
"29860" "chr2" 166391844 166407571
"42565" "chr6" 39092315 39156610
"39716" "chr5" 120984165 121005230
"52324" "chr8" 124530990 124549969
"1372" "chr1" 95047932 95057447
"43694" "chr6" 94457507 94546083
"40626" "chr5" 132463879 132467955
"13226" "chr13" 60275765 60278726
"45280" "chr7" 26472020 26490015
"37798" "chr5" 36235967 36346571
"22515" "chr17" 71368920 71433067
"13871" "chr14" 22495793 22533798
"11839" "chr12" 103508600 103510701
"14156" "chr14" 32173065 32249219
"52772" "chr8" 126547359 126572404
"44842" "chr7" 17491838 17496254
"16167" "chr15" 78353775 78360047
"30262" "chr2" 172219293 172258360
"29553" "chr2" 163163508 163223686
"26530" "chr2" 25036277 25038852
"8943" "chr11" 101023992 101026501
"40873" "chr5" 136514365 136520863
"36765" "chr4" 153626532 153627191
"36328" "chr4" 147822715 147931792
"25135" "chr19" 18655244 18706299
"53173" "chr8" 129336539 129400338
"35584" "chr4" 135762338 135800824
"23421" "chr18" 35886642 35890523
"20976" "chr17" 29194418 29215906
"42617" "chr6" 47502384 47545337
"4341" "chr10" 75669966 75700610
"23451" "chr18" 36072785 36076426
"40952" "chr5" 136838164 137043301
"30113" "chr2" 167757826 167804885
"37314" "chr5" 29556341 29704930
"4887" "chr10" 80392835 80394949
"13580" "chr13" 104813518 104826647
"36995" "chr5" 17200019 17236085
"52889" "chr8" 127219535 127233873
"25627" "chr19" 43922456 43954258
"47682" "chr7" 117994120 118006467
"45296" "chr7" 26542291 26573560
"8483" "chr11" 95528303 95542087
"55422" "chr9" 108991850 108994816
"30612" "chr2" 180882396 180891720
"23622" "chr18" 44559277 44578148
"23307" "chr18" 32069795 32070928
"20566" "chr17" 26761127 26780827
"42351" "chr6" 31116025 31168433
"52913" "chr8" 127355597 127387603
"28241" "chr2" 118301578 118305432
"41990" "chr5" 149931140 149995639
"4411" "chr10" 76993092 77028419
"24226" "chr18" 83025285 83028554
"1109" "chr1" 89160938 89207366
"21113" "chr17" 29964902 29979366
"8575" "chr11" 97177169 97191234
"14777" "chr14" 70689205 70701091
"1689" "chr1" 129203213 129379549
"14827" "chr14" 73428934 73448879
"1963" "chr1" 135142682 135198226
"10971" "chr12" 70397754 70411451
"20167" "chr17" 24130500 24135050
"5099" "chr10" 82211444 82226886
"18457" "chr16" 22009581 22047949
"34804" "chr4" 128404824 128430118
"21375" "chr17" 33959994 33961427
"3998" "chr10" 60225342 60283389
"37475" "chr5" 31816941 31829058
"23306" "chr18" 31986915 32066649
"30345" "chr2" 173116755 173117097
"46925" "chr7" 87599976 87679874
"30569" "chr2" 180317315 180320339
"23172" "chr18" 12899863 12913651
"51634" "chr8" 121868437 121872829
"24066" "chr18" 75590870 75681523
"25830" "chr19" 46560802 46561184
"34705" "chr4" 125914139 125933527
"29290" "chr2" 156547014 156590099
"3367" "chr1" 193399612 193445570
"49294" "chr8" 12396352 12397562
"43371" "chr6" 88148661 88157023
"22790" "chr17" 84251090 84253758
"5862" "chr10" 128106949 128109658
"48812" "chr7" 148679036 148725703
"31439" "chr3" 87791452 87804152
"36739" "chr4" 153385911 153395621
"43730" "chr6" 97300926 97567576
"54616" "chr9" 67240258 67276610
"18392" "chr16" 20733199 20742455
"43542" "chr6" 90569209 90596406
"44528" "chr6" 142305470 142315325
"48613" "chr7" 146248505 146269875
"32305" "chr3" 116216058 116252310
"31048" "chr3" 52543645 52580576
"41001" "chr5" 137588273 137592077
"32931" "chr4" 33107634 33110331
"8859" "chr11" 100436288 100443039
"52293" "chr8" 124440043 124468812
"20959" "chr17" 29070930 29079207
"37076" "chr5" 23825406 23835409
"43850" "chr6" 112570798 112646588
"20265" "chr17" 24769654 24775782
"15283" "chr15" 12738169 12754396
"47311" "chr7" 106367593 106387113
"16458" "chr15" 80778948 80799803
"19657" "chr16" 93919277 94009082
"13376" "chr13" 81917771 81922768
"44136" "chr6" 119265150 119280751
"18726" "chr16" 31878895 31899105
"31504" "chr3" 88287127 88297234
"35092" "chr4" 130556746 130566389
"21519" "chr17" 35051424 35067301
"14645" "chr14" 63859372 63890529
"26678" "chr2" 26218295 26225132
"14936" "chr14" 79249002 79465076
"34020" "chr4" 106881784 106890519
"14270" "chr14" 45754579 45840003
"16670" "chr15" 83206547 83263249
"14813" "chr14" 70977653 70982378
"52525" "chr8" 125248847 125262411
"55399" "chr9" 108756986 108815380
"19525" "chr16" 91925467 91931875
"13050" "chr13" 54472712 54485278
"31674" "chr3" 89743402 89757287
"32518" "chr3" 134875526 134936504
"53200" "chr8" 129588144 130134730
"10057" "chr11" 119868631 119878472
"42273" "chr6" 30161293 30162401
"34770" "chr4" 126921027 126925053
"14224" "chr14" 34191110 34193817
"50299" "chr8" 73929914 73933803
"32921" "chr4" 32891009 32947658
"49440" "chr8" 14381733 14831758
"45074" "chr7" 25247518 25260892
"1081" "chr1" 88562865 88567147
"49021" "chr7" 151361424 151582336
"11893" "chr12" 104559351 104573794
"35105" "chr4" 131339144 131377431
"22453" "chr17" 66271311 66300470
"7892" "chr11" 77972000 77979029
"30431" "chr2" 179646850 179711351
"37407" "chr5" 31117128 31168479
"41351" "chr5" 140683338 140686715
"51102" "chr8" 108384533 108404301
"48841" "chr7" 149024976 149058990
"23767" "chr18" 60863390 60908074
"18226" "chr16" 17646710 17649508
"37035" "chr5" 22937988 22940044
"10095" "chr11" 120098012 120153596
"52173" "chr8" 124054683 124065854
"20571" "chr17" 26813340 26836591
"6779" "chr11" 58701654 58717727
"17662" "chr15" 102126755 102154787
"17016" "chr15" 85969558 85989660
"39215" "chr5" 115072162 115086270
"25199" "chr19" 24550268 24551964
"43665" "chr6" 92766471 92793459
"31258" "chr3" 79448637 79541716
"32124" "chr3" 104747722 104764627
"45367" "chr7" 28127151 28140729
"30557" "chr2" 180207109 180209557
"7127" "chr11" 62462165 62479861
"42979" "chr6" 82352468 82510093
"50053" "chr8" 72432368 72498170
"54000" "chr9" 44611437 44689357
"54223" "chr9" 57233762 57287921
"53636" "chr9" 25289181 25411695
"11057" "chr12" 73078617 73093354
"51627" "chr8" 121868437 121872829
"34437" "chr4" 119212292 119301724
"28385" "chr2" 120435171 120446554
"18647" "chr16" 30849541 30851444
"54541" "chr9" 65402190 65424560
"15128" "chr14" 122874605 122879550
"5632" "chr10" 122382139 122382819
"47294" "chr7" 106052848 106289623
"28437" "chr2" 122124635 122128621
"14370" "chr14" 52914516 52924799
"54768" "chr9" 75345590 75407464
"54739" "chr9" 73958140 74131010
"5180" "chr10" 83185642 83225036
"5063" "chr10" 80961222 80962882
"37840" "chr5" 36546669 36549216
"37440" "chr5" 31357183 31380852
"41104" "chr5" 138635541 138636628
"24489" "chr19" 5024070 5031964
"2912" "chr1" 178663783 178680642
"40856" "chr5" 136363928 136365431
"8155" "chr11" 85646116 85655450
"2809" "chr1" 172634587 172797902
"49485" "chr8" 18932731 18950959
"53250" "chr9" 9660890 10904726
"4549" "chr10" 79179378 79198853
"33530" "chr4" 57210481 57218768
"31734" "chr3" 94196892 94206770
"17921" "chr16" 8688814 8738435
"9189" "chr11" 104204239 104204987
"44305" "chr6" 125047104 125072047
"35837" "chr4" 138617323 138630704
"28838" "chr2" 151398367 151415735
"15609" "chr15" 59205801 59433236
"1146" "chr1" 90448091 90458742
"32988" "chr4" 40751634 40801031
"19725" "chr16" 95924092 95942656
"14558" "chr14" 61325708 61383386
"34103" "chr4" 107687397 107704695
"35471" "chr4" 134708410 134727173
"28445" "chr2" 122174627 122179867
"47115" "chr7" 96288232 96487106
"37084" "chr5" 23825406 23835409
"33614" "chr4" 59917997 59927928
"54419" "chr9" 63188032 63225659
"14132" "chr14" 31937846 31942116
"23322" "chr18" 32399984 32429801
"29814" "chr2" 165898588 165980785
"27860" "chr2" 76912828 77008693
"4847" "chr10" 80240300 80257092
"41026" "chr5" 137791384 137819897
"2458" "chr1" 155066051 155179916
"28054" "chr2" 93292975 93310028
"37199" "chr5" 24408386 24412665
"46609" "chr7" 74929610 74948382
"33525" "chr4" 57074612 57156023
"10561" "chr12" 16543441 16587710
"33779" "chr4" 94405990 94541630
"15125" "chr14" 122858381 122864881
"44017" "chr6" 115580215 115626653
"21235" "chr17" 31784027 31795660
"54619" "chr9" 67541915 67541976
"14221" "chr14" 34191110 34193817
"745" "chr1" 74036295 74045042
"51553" "chr8" 120185298 120195415
"14711" "chr14" 66587461 66600385
"40060" "chr5" 123553052 123582638
"54773" "chr9" 76949891 77195677
"45711" "chr7" 31278676 31298421
"49874" "chr8" 47292697 47296363
"18171" "chr16" 17070403 17087250
"11139" "chr12" 77162574 77211915
"43185" "chr6" 85249076 85270387
"28753" "chr2" 145760519 145868808
"2656" "chr1" 167104627 167124451
"55831" "chr9" 121847233 121856134
"11979" "chr12" 107248472 107315620
"29228" "chr2" 156246787 156368950
"31946" "chr3" 97817460 97954290
"15568" "chr15" 58765364 58771044
"52238" "chr8" 124254462 124318176
"1297" "chr1" 93329804 93355905
"28229" "chr2" 118095968 118101905
"35732" "chr4" 137297653 137352238
"16466" "chr15" 80846188 80875907
"12346" "chr12" 113826994 113853768
"47561" "chr7" 112958193 112959601
"31509" "chr3" 88287127 88307229
"6575" "chr11" 52174616 52202898
"3324" "chr1" 193130675 193141997
"36650" "chr4" 151363741 151366701
"5118" "chr10" 82448241 82658636
"47765" "chr7" 119809073 119823595
"29969" "chr2" 167028695 167066037
"5331" "chr10" 93103945 93208631
"22414" "chr17" 65116450 65117271
"24426" "chr19" 4286000 4288227
"24322" "chr19" 3851772 3894367
"4293" "chr10" 75012873 75023075
"11602" "chr12" 88221650 88225761
"31689" "chr3" 90058217 90068041
"35979" "chr4" 140277329 140279130
"16848" "chr15" 84979683 84986562
"16062" "chr15" 76730370 76731727
"45878" "chr7" 36473852 36539417
"14593" "chr14" 62153141 62175723
"27868" "chr2" 77249156 77654873
"41349" "chr5" 140683338 140686715
"24991" "chr19" 10273628 10278232
"9914" "chr11" 118351073 118770886
"35813" "chr4" 138433856 138438729
"26126" "chr19" 54119749 54123470
"13644" "chr13" 113254316 113297049
"39096" "chr5" 114582001 114589330
"25283" "chr19" 30307446 30314172
"11357" "chr12" 83718485 84259799
"29980" "chr2" 167123944 167174678
"39972" "chr5" 122872489 122894588
"31867" "chr3" 96361879 96365788
"44630" "chr6" 148893388 148895651
"52971" "chr8" 127578094 127785051
"4682" "chr10" 79612426 79621112
"7640" "chr11" 72990584 72996664
"15410" "chr15" 36700524 36723999
"36683" "chr4" 151497007 151505966
"39367" "chr5" 115994804 115999765
"28583" "chr2" 130406412 130408277
"34632" "chr4" 124528025 124532483
"33721" "chr4" 83920998 84192309
"55573" "chr9" 114640320 114658461
"21543" "chr17" 35196045 35199040
"44587" "chr6" 146060001 146450434
"13303" "chr13" 69760475 69762171
"33905" "chr4" 105988824 106033488
"1709" "chr1" 129383128 129574598
"51657" "chr8" 121970618 121996535
"47952" "chr7" 127778702 127803037
"12841" "chr13" 44826206 45016346
"48158" "chr7" 133513580 133520925
"16254" "chr15" 78846317 78853959
"19322" "chr16" 89897778 89961072
"43961" "chr6" 114812107 114825125
"40311" "chr5" 125257579 125259515
"5967" "chr11" 4520277 4527769
"32663" "chr3" 146169381 146184382
"36662" "chr4" 151393884 151401780
"16913" "chr15" 85411571 85424138
"20237" "chr17" 24625727 24645852
"6974" "chr11" 60323035 60335488
"35892" "chr4" 139018316 139045447
"30609" "chr2" 180815726 180849434
"47586" "chr7" 116667424 116688777
"43490" "chr6" 89162239 89166073
"13879" "chr14" 22569793 22617947
"38945" "chr5" 112705745 112744376
"49207" "chr8" 11313023 11449215
"37890" "chr5" 37138612 37139918
"27999" "chr2" 91767405 91768845
"29010" "chr2" 153233202 153270214
"10250" "chr11" 121563740 121578703
"53519" "chr9" 21572522 21602961
"49138" "chr8" 3587675 3609047
"46282" "chr7" 53289189 53339574
"46314" "chr7" 53450726 53493860
"37812" "chr5" 36235967 36346571
"18358" "chr16" 20517136 20532593
"50398" "chr8" 75089096 75094947
"23218" "chr18" 16747517 16967755
"42991" "chr6" 82675041 82724453
"29622" "chr2" 163935936 163981257
"29236" "chr2" 156301572 156368950
"28201" "chr2" 115382522 115407288
"10937" "chr12" 56703885 56922154
"46498" "chr7" 72357702 72358315
"18628" "chr16" 30518196 30550928
"46229" "chr7" 52933058 52949772
"32320" "chr3" 116621179 116671870
"49890" "chr8" 47637422 47664938
"39877" "chr5" 122345417 122366743
"21059" "chr17" 29627989 29632404
"39303" "chr5" 115595101 115608155
"29745" "chr2" 165480797 165597131
"18179" "chr16" 17130230 17132458
"7770" "chr11" 76057271 76064124
"379" "chr1" 43104113 43149331
"4787" "chr10" 80029865 80040041
"26411" "chr2" 11094008 11222853
"35511" "chr4" 135097802 135129535
"17247" "chr15" 98469918 98474961
"13033" "chr13" 52930478 53025046
"44324" "chr6" 125165598 125192045
"53505" "chr9" 21559885 21561838
"36417" "chr4" 148478261 148494759
"47102" "chr7" 91257868 91300403
"47352" "chr7" 106683995 106755281
"39750" "chr5" 121130272 121145412
"38606" "chr5" 101083741 101103270
"14010" "chr14" 26471332 26484195
"1722" "chr1" 129765368 129840445
"1162" "chr1" 90967036 91050368
"54222" "chr9" 57233762 57287921
"15886" "chr15" 75472558 75484071
"18283" "chr16" 18207914 18213626
"13530" "chr13" 100718486 100785594
"32311" "chr3" 116448095 116484262
"21731" "chr17" 44744853 44872567
"871" "chr1" 75382184 75428881
"54854" "chr9" 83728347 83765991
"26798" "chr2" 28048612 28086256
"29096" "chr2" 154477477 154520519
"42269" "chr6" 30161293 30162401
"25909" "chr19" 47165255 47205635
"10481" "chr12" 8778201 8800493
"7673" "chr11" 74670068 74674077
"33125" "chr4" 43519897 43526597
"35192" "chr4" 132567420 132634025
"19975" "chr17" 12420486 12511526
"6642" "chr11" 54542178 54548075
"31063" "chr3" 52845468 53065601
"9934" "chr11" 118941468 118943970
"13214" "chr13" 59873239 59910865
"5359" "chr10" 94253611 94407212
"19588" "chr16" 92687233 92697570
"8489" "chr11" 95630337 95633483
"52157" "chr8" 124054683 124065854
"36051" "chr4" 140670578 140670998
"12040" "chr12" 109572590 109600444
"38249" "chr5" 73997880 74023660
"48771" "chr7" 148477904 148480900
"42201" "chr6" 29075146 29114688
"15979" "chr15" 76161723 76165329
"4184" "chr10" 67646571 67741474
"41989" "chr5" 149931140 149995639
"12550" "chr13" 12400485 12432999
"35797" "chr4" 137990586 137998180
"32522" "chr3" 135069377 135086397
"43970" "chr6" 114812107 114871770
"37214" "chr5" 24491659 24503980
"20160" "chr17" 23990738 23996743
"30524" "chr2" 179992083 179993149
"55352" "chr9" 108382275 108392860
"24511" "chr19" 5088552 5092856
"4229" "chr10" 70387847 70609608
"19734" "chr16" 96288274 96304035
"28864" "chr2" 151822363 151834992
"13664" "chr13" 114132755 114160723
"46816" "chr7" 86966688 86987546
"3435" "chr1" 194681121 194682440
"32834" "chr4" 13670448 13817776
"31214" "chr3" 68808893 68838545
"53935" "chr9" 44160143 44168068
"45790" "chr7" 34925715 34953548
"15061" "chr14" 120877682 120906414
"29936" "chr2" 166924293 166927030
"889" "chr1" 75447084 75470915
"41069" "chr5" 138092081 138102990
"48014" "chr7" 129302950 129313389
"47168" "chr7" 104480832 104498726
"18743" "chr16" 32084509 32099811
"28142" "chr2" 103561415 103601407
"55540" "chr9" 113872754 113935869
"21592" "chr17" 35457506 35462364
"23478" "chr18" 36440815 36447899
"22795" "chr17" 84397891 84412746
"42856" "chr6" 71493847 71532602
"329" "chr1" 39424763 39428752
"23936" "chr18" 67550384 67562403
"15642" "chr15" 61938702 62073852
"19853" "chr17" 5975640 6044290
"9670" "chr11" 116393224 116397984
"50815" "chr8" 96495487 96536540
"35353" "chr4" 133830920 133843747
"1489" "chr1" 120524521 120581745
"40290" "chr5" 125079647 125202517
"27849" "chr2" 76208040 76221824
"4962" "chr10" 80657435 80671115
"48378" "chr7" 135414892 135441615
"22651" "chr17" 79152245 79168358
"46840" "chr7" 87239733 87243219
"4813" "chr10" 80105367 80106794
"13554" "chr13" 102450717 102538172
"51648" "chr8" 121961061 121970156
"9428" "chr11" 113106167 113427075
"12258" "chr12" 112907571 112910479
"3897" "chr10" 58276850 58601662
"41837" "chr5" 147889116 147890656
"25952" "chr19" 47341402 47389241
"41485" "chr5" 142939884 142954669
"14776" "chr14" 70580274 70605829
"19189" "chr16" 56075589 56099621
"40758" "chr5" 135528826 135540045
"20912" "chr17" 28695158 28697659
"32465" "chr3" 127336062 127338549
"35998" "chr4" 140341283 140359937
"6763" "chr11" 58120570 58128115
"14651" "chr14" 63991673 64036024
"14512" "chr14" 57893870 58017320
"32847" "chr4" 14874583 14880177
"8527" "chr11" 96769099 96777795
"19567" "chr16" 92392197 92400322
"9006" "chr11" 102007679 102010790
"28386" "chr2" 120528277 120557631
"23859" "chr18" 63822454 63852013
"15917" "chr15" 75740164 75744965
"49887" "chr8" 47637422 47664938
"24707" "chr19" 6119403 6128215
"4672" "chr10" 79605109 79608556
"28979" "chr2" 152891690 152907462
"4267" "chr10" 74523640 74645695
"18788" "chr16" 32673244 32683023
"41342" "chr5" 140383896 140450676
"378" "chr1" 43111552 43117778
"12932" "chr13" 48590024 48608796
"51574" "chr8" 120807654 121847348
"10622" "chr12" 25336138 25347540
"18650" "chr16" 30849541 30851444
"36759" "chr4" 153626532 153627191
"8671" "chr11" 97784551 97847694
"34922" "chr4" 129292860 129296337
"13685" "chr13" 118009438 118062905
"38426" "chr5" 92655712 92685304
"51173" "chr8" 109128186 109128845
"24438" "chr19" 4510521 4621698
"31979" "chr3" 100750272 100773582
"31664" "chr3" 89635291 89662756
"23966" "chr18" 68387647 68415203
"12324" "chr12" 113384418 113419958
"27963" "chr2" 90958300 90976673
"48992" "chr7" 151009071 151034315
"29998" "chr2" 167123944 167174678
"41133" "chr5" 139452928 139470907
"41575" "chr5" 143722033 143734868
"4344" "chr10" 75757986 75765036
"22971" "chr17" 87788915 87827022
"11142" "chr12" 77221405 77278246
"43049" "chr6" 83129582 83150112
"32277" "chr3" 108658240 108661531
"2716" "chr1" 168314753 168339937
"50057" "chr8" 72432368 72498170
"37861" "chr5" 36790259 36807502
"50608" "chr8" 86697631 86700451
"12197" "chr12" 112404758 112505359
"27546" "chr2" 38787499 38816105
"43800" "chr6" 106719183 106732463
"34462" "chr4" 119834028 119839965
"30438" "chr2" 179646850 179711351
"34830" "chr4" 128561383 128588570
