"chromosome" "start" "end"
"1212" "chr6" 36473209 36474610
"210" "chr10" 92711629 92773782
"341" "chr12" 70994255 71065018
"759" "chr18" 56921369 57085202
"751" "chr18" 43483935 43532926
"426" "chr12" 39510297 39594790
"390" "chr12" 45953472 46175470
"439" "chr13" 98514648 98517366
"231" "chr11" 44213564 44227519
"412" "chr12" 40732033 40763963
"475" "chr13" 45616220 45616588
"1247" "chr7" 30041348 30066996
"228" "chr11" 55838491 55854489
"593" "chr16" 87354429 87368894
"991" "chr4" 104707594 104782474
"506" "chr14" 23403627 23875307
"1124" "chr5" 102358325 102498940
"672" "chr17" 73457333 73592706
"1003" "chr4" 16091231 16193372
"1301" "chr8" 126755293 126869622
"1459" "chr9" 30706739 30730037
"136" "chr1" 43245963 43246603
"396" "chr12" 9572041 9577391
"1095" "chr5" 5537456 5559501
"468" "chr13" 60585293 60590088
"1184" "chr6" 17257722 17291324
"62" "chr1" 73963439 73988605
"1077" "chr5" 31871967 31873770
"3" "chr1" 177504439 177508546
"651" "chr17" 79733364 79754431
"1470" "chr9" 63269263 63450292
"273" "chr11" 22049899 22071358
"1352" "chr8" 130666469 130821371
"899" "chr3" 37019643 37024875
"788" "chr19" 36186454 36194334
"1471" "chr9" 111341616 111391617
"574" "chr15" 59085453 59085486
"436" "chr13" 63341350 63427404
"38" "chr1" 93007789 93013498
"1364" "chr8" 15060189 15073840
"1274" "chr7" 47518074 47525123
"1395" "chr8" 24521989 24560104
"129" "chr1" 43245963 43246603
"713" "chr17" 32081713 32171437
"585" "chr16" 28160183 28565037
"277" "chr11" 11768125 11785323
"354" "chr12" 53955707 53989050
"88" "chr1" 99717670 99992209
"822" "chr2" 9111141 9119104
"660" "chr17" 73457333 73592706
"979" "chr4" 127032052 127035408
"972" "chr4" 119137890 119165184
"1342" "chr8" 119519578 119606349
"1355" "chr8" 97944149 97958692
"901" "chr3" 115826351 115832606
"1320" "chr8" 127578094 127785051
"5" "chr1" 122983981 123017533
"805" "chr19" 41285331 41338494
"461" "chr13" 118495570 118508818
"414" "chr12" 10397587 10402367
"1179" "chr6" 52119060 52150937
"526" "chr14" 60997156 60999497
"397" "chr12" 4976157 5020849
"1081" "chr5" 30430123 30432626
"244" "chr11" 64990071 64995659
"182" "chr10" 6791663 6806262
"263" "chr11" 3034628 3093466
"915" "chr3" 101380145 101408580
"291" "chr11" 65501745 65601799
"1311" "chr8" 130979384 131012012
"1175" "chr6" 115852647 115876708
"917" "chr3" 20021969 20054995
"142" "chr1" 180867240 180869330
"164" "chr10" 57206291 57232941
"1058" "chr5" 116573622 116579119
"314" "chr12" 30859858 30928216
"874" "chr2" 139802264 139867950
"222" "chr10" 82693883 82800562
"187" "chr10" 98761521 98885681
"429" "chr12" 29122659 29233202
"1055" "chr5" 74591350 74595502
"666" "chr17" 13714321 13721299
"211" "chr10" 12933200 13043966
"448" "chr13" 11863305 12199212
"1425" "chr8" 130666469 130821371
"1276" "chr7" 97014905 97052128
"1384" "chr8" 11198430 11312730
"1228" "chr7" 80455265 80460079
"1468" "chr9" 111095544 111127829
"137" "chr1" 180867240 180869330
"1209" "chr6" 52105365 52108309
"587" "chr16" 49210753 49255885
"161" "chr10" 57206291 57232941
"1219" "chr6" 93625448 94233898
"888" "chr3" 82161965 82187583
"1149" "chr6" 6508274 6528658
"602" "chr16" 45747822 45844491
"1245" "chr7" 96781327 97002869
"825" "chr2" 148498377 148501759
"1440" "chr9" 23027519 23289646
"592" "chr16" 84954687 85056771
"836" "chr2" 9837222 9862686
"1363" "chr8" 128519069 128554585
"1204" "chr6" 133985724 134220165
"796" "chr19" 36186454 36194334
"145" "chr1" 122499063 122504568
"1488" "chr9" 116852240 117160693
"641" "chr16" 56204425 56273866
"406" "chr12" 99440509 99497547
"1154" "chr6" 36665662 36761361
"1234" "chr7" 130565051 130571705
"149" "chr1" 122499063 122504568
"479" "chr13" 110717051 110741682
"1485" "chr9" 87599033 87626095
"1017" "chr4" 104829951 104905372
"69" "chr1" 193048352 193049565
"1062" "chr5" 87233514 87265682
"482" "chr13" 29124262 29126901
"832" "chr2" 14795282 14908560
"409" "chr12" 80398337 80609641
"1235" "chr7" 109006844 109012659
"536" "chr15" 62049095 62051006
"270" "chr11" 30116661 30168175
"958" "chr3" 146556965 146645714
"1136" "chr5" 132463879 132467955
"133" "chr1" 129380635 129383814
"1283" "chr8" 64542217 64601915
"679" "chr17" 24175209 24182916
"255" "chr11" 65091155 65101335
"978" "chr4" 59327554 59328838
"324" "chr12" 16729982 16747060
"867" "chr2" 119915222 119980311
"1126" "chr5" 30080936 30082208
"631" "chr16" 90386641 90499798
"818" "chr19" 24748497 24754151
"331" "chr12" 77425877 77428914
"1460" "chr9" 60371773 60393689
"459" "chr13" 46369089 46395484
"246" "chr11" 102481109 102485661
"159" "chr1" 117565564 117581196
"101" "chr1" 82583495 82718634
"1070" "chr5" 141235897 141306385
"235" "chr11" 88480564 88484740
"893" "chr3" 66023808 66029728
"856" "chr2" 153171874 153229743
"1257" "chr7" 149489406 149490408
"1092" "chr5" 124568699 124637191
"499" "chr14" 76904371 76907568
"1213" "chr6" 36473209 36474610
"1316" "chr8" 124320229 124353469
"1145" "chr6" 66485461 66491014
"581" "chr15" 7090540 7141218
"965" "chr4" 56233488 56237393
"854" "chr2" 71557473 71569023
"51" "chr1" 166994154 167022061
"815" "chr19" 46836098 46953070
"91" "chr1" 137747278 137748837
"152" "chr1" 122499063 122504568
"887" "chr3" 21975573 22115516
"82" "chr1" 180728568 180862983
"1129" "chr5" 54496459 54511442
"189" "chr10" 107599455 107714631
"1483" "chr9" 3186315 3186344
"997" "chr4" 149270392 149283840
"1211" "chr6" 51350964 51352218
"1394" "chr8" 129112197 129114990
"467" "chr13" 81102148 81265423
"26" "chr1" 187270994 187279447
"229" "chr11" 55838491 55854489
"1246" "chr7" 116681260 116760082
"842" "chr2" 68048503 68204576
"916" "chr3" 27081925 27143833
"1215" "chr6" 94808519 94874528
"343" "chr12" 99626170 99626226
"293" "chr12" 45953472 46175470
"225" "chr11" 55838491 55854489
"630" "chr16" 22511552 22517754
"1167" "chr6" 22238229 22248522
"66" "chr1" 134406001 134439517
"518" "chr14" 23403627 23875307
"882" "chr3" 8509526 8561604
"1233" "chr7" 119517858 119538863
"791" "chr19" 57348449 57351542
"1187" "chr6" 30561009 30581521
"590" "chr16" 84954687 85056771
"782" "chr19" 27291921 27324110
"829" "chr2" 64988922 65077460
"692" "chr17" 29387779 29400916
"1064" "chr5" 120120677 120134610
"857" "chr2" 160596182 160698308
"743" "chr18" 23468611 23818215
"1474" "chr9" 71063655 71144050
"838" "chr2" 154885047 154900162
"1048" "chr5" 132463879 132467955
"59" "chr1" 137625773 137648806
"334" "chr12" 72990716 73093354
"347" "chr12" 9581302 9587707
"1186" "chr6" 17257722 17291324
"10" "chr1" 51345969 51359804
"1382" "chr8" 127941962 128016733
"16" "chr1" 61685816 62684497
"903" "chr3" 86349502 86352205
"36" "chr1" 137481349 137496527
"34" "chr1" 183745466 183750183
"1362" "chr8" 36529115 36558535
"423" "chr12" 40732033 40763963
"532" "chr15" 42464853 42508341
"103" "chr1" 153418663 153566166
"1110" "chr5" 106881541 106887185
"1032" "chr5" 97222433 97274987
"1337" "chr8" 129823507 129957044
"667" "chr17" 12875271 12962572
"54" "chr1" 129383128 129574598
"570" "chr15" 58146127 58155724
"1464" "chr9" 32122367 32151822
"1443" "chr9" 114925780 115141341
"93" "chr1" 120368348 120442036
"952" "chr3" 79689877 79747307
"169" "chr10" 106954415 107157083
"833" "chr2" 170230680 170232675
"560" "chr15" 12373085 12375420
"80" "chr1" 83113356 83115741
"1248" "chr7" 119265103 119294262
"929" "chr3" 81896348 81948995
"673" "chr17" 35818511 35838975
"18" "chr1" 165709809 165847231
"223" "chr11" 56825457 57143746
"511" "chr14" 66538231 66572581
"974" "chr4" 137873810 137882211
"97" "chr1" 99717670 99992209
"102" "chr1" 72629844 72679706
"734" "chr17" 49754496 50049172
"1150" "chr6" 12266187 12298333
"760" "chr18" 65210693 65372961
"348" "chr12" 40732033 40763963
"1388" "chr8" 130979384 131012012
"977" "chr4" 59327554 59328838
"606" "chr16" 45730509 45743017
"1039" "chr5" 140683338 140686715
"191" "chr10" 79630585 79634398
"218" "chr10" 96079660 96082261
"1141" "chr5" 42016214 42099394
"131" "chr1" 83261701 83404741
"576" "chr15" 59085453 59085486
"894" "chr3" 65752813 65762147
"178" "chr10" 6977240 6980399
"368" "chr12" 86814850 86818219
"1378" "chr8" 113443821 113495457
"871" "chr2" 18763882 18919748
"221" "chr10" 107769244 107851447
"964" "chr4" 82141887 82151005
"1177" "chr6" 114954398 114987892
"227" "chr11" 44213564 44227519
"1006" "chr4" 144570200 144636308
"1122" "chr5" 89316284 89668681
"1415" "chr8" 130666469 130821371
"32" "chr1" 162602581 162723069
"897" "chr3" 145587341 145597247
"1480" "chr9" 87599033 87626095
"892" "chr3" 104442590 104462385
"306" "chr12" 52449343 52474758
"52" "chr1" 74036295 74045042
"464" "chr13" 46597515 46745647
"640" "chr16" 52799620 52815857
"1155" "chr6" 33979447 34084034
"163" "chr10" 57206291 57232941
"387" "chr12" 45953472 46175470
"1038" "chr5" 100111457 100144789
"778" "chr19" 16510251 16685310
"607" "chr16" 93346301 93359788
"177" "chr10" 21139282 21145552
"662" "chr17" 81772444 82137717
"802" "chr19" 29672236 29680386
"684" "chr17" 24636447 24645852
"1299" "chr8" 129114584 129117306
"1451" "chr9" 111341616 111391617
"646" "chr16" 86770471 86806609
"689" "chr17" 73457333 73592706
"889" "chr3" 86349502 86352205
"1096" "chr5" 125894773 125914418
"1083" "chr5" 149076792 149125658
"716" "chr17" 73267665 73291282
"1446" "chr9" 70390584 70440039
"1120" "chr5" 77634132 77640478
"351" "chr12" 91991647 92208238
"990" "chr4" 45436147 45495674
"695" "chr17" 72036040 72079009
"522" "chr14" 77077385 77086909
"969" "chr4" 99602111 99659894
"86" "chr1" 72629844 72679706
"200" "chr10" 88917122 88996330
"230" "chr11" 7106095 7113926
"668" "chr17" 12841740 12868704
"1408" "chr8" 11198430 11312730
"549" "chr15" 41542149 41652124
"950" "chr3" 79689877 79747307
"1272" "chr7" 96781327 97002869
"1091" "chr5" 36359829 36740788
"980" "chr4" 33332397 33335762
"612" "chr16" 45747822 45844491
"496" "chr14" 22495793 22533798
"1225" "chr7" 150479977 150487522
"175" "chr10" 107599455 107714631
"884" "chr3" 37613111 37623282
"704" "chr17" 30940007 30950175
"1164" "chr6" 91634088 91709057
"342" "chr12" 112948068 112951128
"1065" "chr5" 150556533 150565174
"737" "chr18" 55104535 55152245
"1442" "chr9" 71474315 71478916
"2" "chr1" 76485707 76498603
"624" "chr16" 11405740 11755565
"806" "chr19" 41103764 41134015
"297" "chr12" 45953472 46175470
"1438" "chr9" 42328518 42752454
"610" "chr16" 33684551 33768281
"1267" "chr7" 120844403 120851954
"474" "chr13" 60306831 60317379
"1089" "chr5" 139835692 139936488
"1090" "chr5" 124568699 124666426
"971" "chr4" 61492352 61496214
"1454" "chr9" 41488229 41545481
"224" "chr11" 56825457 57143746
"166" "chr10" 8533519 8605868
"267" "chr11" 5796639 5798785
"254" "chr11" 65091155 65101335
"472" "chr13" 89988525 90229128
"1169" "chr6" 86959897 86978409
"382" "chr12" 8017207 8023641
"959" "chr4" 81062443 81088709
"1194" "chr6" 34895294 34927999
"1057" "chr5" 106253529 106261453
"1130" "chr5" 107393579 107413450
"1152" "chr6" 98643605 98647668
"605" "chr16" 77500750 77598776
"1222" "chr6" 36159619 36337956
"1221" "chr6" 51494549 51540669
"1452" "chr9" 59790577 59797886
"1319" "chr8" 11840520 11855761
"1466" "chr9" 24913883 24914951
"1035" "chr5" 29522578 29551831
"167" "chr10" 110037705 110053017
"780" "chr19" 27291921 27324110
"981" "chr4" 120078013 120202560
"1400" "chr8" 128946427 128949334
"707" "chr17" 73186921 73200535
"77" "chr1" 135516447 135557957
"1323" "chr8" 124530990 124549969
"926" "chr3" 120904927 120955781
"657" "chr17" 83614641 83624405
"1453" "chr9" 110854048 110886568
"198" "chr10" 116482396 116483824
"772" "chr18" 13165498 13181391
"1159" "chr6" 66846424 66971288
"1457" "chr9" 61221341 61266304
"523" "chr14" 105691897 105708089
"509" "chr14" 67403365 67412595
"23" "chr1" 154597680 154604674
"541" "chr15" 96528285 96530129
"239" "chr11" 8445695 8564538
"1361" "chr8" 13235661 13254162
"1312" "chr8" 131209680 131257097
"665" "chr17" 43153503 43226137
"873" "chr2" 63363520 63413345
"14" "chr1" 45471043 45560127
"349" "chr12" 25778663 25780933
"877" "chr2" 50985958 51004631
"405" "chr12" 99440509 99497547
"431" "chr13" 101572602 101584721
"1481" "chr9" 24913883 24914951
"1449" "chr9" 119517583 119525947
"648" "chr17" 83614641 83624405
"706" "chr17" 49754496 50049172
"111" "chr1" 78534246 78534738
"76" "chr1" 79603456 79668538
"524" "chr14" 25441359 25448422
"1306" "chr8" 36887765 36889613
"1173" "chr6" 122657582 122663796
"895" "chr3" 79260171 79304444
"768" "chr18" 42804922 43058643
"918" "chr3" 107270465 107320936
"902" "chr3" 108237314 108248087
"64" "chr1" 121422743 121424803
"1019" "chr4" 81936076 81941365
"264" "chr11" 11714105 11722924
"986" "chr4" 63205870 63211735
"995" "chr4" 43718499 43719438
"967" "chr4" 57722683 57770555
"1298" "chr8" 59934719 59956382
"428" "chr12" 40732033 40763963
"790" "chr19" 46320578 46361000
"1407" "chr8" 120807654 121847348
"58" "chr1" 137355223 137407028
"881" "chr3" 66047919 66100741
"664" "chr17" 43153503 43226137
"240" "chr11" 64990071 64995659
"1350" "chr8" 37630798 37796105
"1112" "chr5" 136724004 137041698
"1099" "chr5" 4080673 4104697
"20" "chr1" 153739714 153937229
"697" "chr17" 26813340 26836591
"179" "chr10" 41719615 41738186
"843" "chr2" 72017749 72046221
"583" "chr15" 39994152 39999619
"371" "chr12" 91991647 92208238
"947" "chr3" 52786087 52798231
"1340" "chr8" 129112197 129114990
"501" "chr14" 77077385 77086909
"113" "chr1" 166891051 166892955
"1374" "chr8" 127432485 127472154
"799" "chr19" 16946805 16948320
"1144" "chr6" 92876224 92893472
"150" "chr1" 122499063 122504568
"1203" "chr6" 93625448 94233898
"1339" "chr8" 125666746 125682155
"48" "chr1" 39430160 39535580
"242" "chr11" 30116661 30168175
"335" "chr12" 8680939 8757145
"378" "chr12" 83718485 84259799
"1098" "chr5" 34064954 34079712
"816" "chr19" 60966378 61168245
"190" "chr10" 79712196 79719537
"463" "chr13" 113108632 113130082
"1326" "chr8" 28309676 28313019
"1005" "chr4" 134876405 134909051
"687" "chr17" 45570779 45578512
"139" "chr1" 180867240 180869330
"1241" "chr7" 117916117 117955909
"851" "chr2" 109871406 109890636
"1484" "chr9" 24913883 24914951
"486" "chr14" 22319075 22491355
"381" "chr12" 8017207 8023641
"588" "chr16" 87125285 87128684
"285" "chr11" 11870425 11926327
"217" "chr10" 110943341 110945704
"911" "chr3" 135247618 135271410
"556" "chr15" 12047607 12114218
"674" "chr17" 6942479 6987129
"883" "chr3" 37613111 37623282
"1418" "chr8" 127941962 128016733
"985" "chr4" 133830920 133843747
"476" "chr13" 118768861 118770131
"1390" "chr8" 36529115 36558535
"1462" "chr9" 119354077 119374635
"1430" "chr8" 29762521 30330108
"669" "chr17" 73600325 73609996
"419" "chr12" 11445038 11451618
"968" "chr4" 85987933 86073657
"456" "chr13" 41013002 41056261
"1324" "chr8" 128258128 128272110
"643" "chr16" 30955715 31081466
"251" "chr11" 62945011 62973048
"1224" "chr7" 56852524 56862516
"359" "chr12" 7918694 7956867
"457" "chr13" 107822855 107845577
"748" "chr18" 25224717 25292002
"392" "chr12" 40732033 40763963
"821" "chr19" 20080110 20084681
"312" "chr12" 4274693 4354509
"364" "chr12" 81437673 81537526
"1168" "chr6" 24547770 24555414
"940" "chr3" 68935154 68961099
"47" "chr1" 172574963 172612920
"1289" "chr8" 129823507 129957044
"841" "chr2" 24941189 24950668
"1192" "chr6" 119125270 119170222
"1313" "chr8" 119873069 119983323
"828" "chr2" 75529108 75542698
"500" "chr14" 65568881 65658663
"844" "chr2" 179872910 179897385
"168" "chr10" 106954415 107157083
"188" "chr10" 116488053 116500870
"106" "chr1" 157367302 157374238
"1242" "chr7" 51723483 51727021
"356" "chr12" 40732033 40763963
"453" "chr13" 118391506 118765609
"728" "chr17" 86384004 86439771
"1445" "chr9" 24951298 24956197
"488" "chr14" 26261126 26272713
"736" "chr17" 41071673 41097848
"618" "chr16" 55499436 55499460
"186" "chr10" 75922311 75931859
"1115" "chr5" 54496459 54511442
"878" "chr2" 178165311 178222071
"502" "chr14" 21895373 22267768
"847" "chr2" 132075021 132078916
"61" "chr1" 19198994 19228815
"296" "chr12" 12268982 12383167
"275" "chr11" 49607690 49652115
"1300" "chr8" 129114584 129117306
"1111" "chr5" 74337620 74339615
"301" "chr12" 71926500 72003221
"905" "chr3" 105707338 105711271
"1050" "chr5" 53947017 54048684
"154" "chr1" 68086539 69154633
"942" "chr3" 141966022 142054814
"1201" "chr6" 65728955 65886371
"400" "chr12" 5085899 5382488
"1402" "chr8" 130666469 130821371
"1044" "chr5" 93238413 93394785
"1023" "chr4" 9771518 9789492
"1397" "chr8" 124054683 124065854
"1076" "chr5" 23009173 23024570
"1409" "chr8" 127941962 128016733
"1008" "chr4" 144570200 144636308
"800" "chr19" 59047847 59102843
"49" "chr1" 172302798 172519980
"982" "chr4" 46090027 46112580
"121" "chr1" 73437958 73454143
"249" "chr11" 3031852 3057939
"1351" "chr8" 119547449 119552743
"257" "chr11" 83256562 83276463
"868" "chr2" 14795282 14908560
"470" "chr13" 11645369 12199212
"60" "chr1" 72998105 73007478
"323" "chr12" 79989683 80007937
"1293" "chr8" 129114584 129117306
"366" "chr12" 80398337 80609641
"1041" "chr5" 93238413 93394785
"757" "chr18" 74224756 74228166
"399" "chr12" 45953472 46175470
"440" "chr13" 105475010 105485061
"1010" "chr4" 149656024 149996075
"261" "chr11" 68715067 68718036
"731" "chr17" 30142031 30346965
"158" "chr1" 77363759 77511663
"31" "chr1" 60540028 60623609
"1028" "chr5" 132525599 133018213
"819" "chr19" 21852831 21932817
"538" "chr15" 62049095 62051006
"57" "chr1" 134406001 134439517
"1223" "chr7" 121190301 121261295
"1199" "chr6" 36664928 36665534
"1456" "chr9" 66870399 66880671
"120" "chr1" 122237158 122239751
"27" "chr1" 74036295 74045042
"1151" "chr6" 117445252 117450095
"492" "chr14" 35405547 35413328
"1489" "chr9" 116852240 117160693
"1275" "chr7" 77417387 77482729
"1256" "chr7" 107855215 107990144
"891" "chr3" 141966022 142058582
"1" "chr1" 76485707 76498603
"260" "chr11" 5613419 5662379
"830" "chr2" 157382097 157392097
"357" "chr12" 40732033 40763963
"40" "chr1" 51345969 51359804
"1437" "chr9" 73327230 73781374
"1375" "chr8" 125153890 125202075
"95" "chr1" 99717670 99992209
"124" "chr1" 35936689 35937964
"1047" "chr5" 51848892 51945100
"165" "chr10" 110037705 110053017
"1137" "chr5" 4803732 5266032
"827" "chr2" 20431673 20732162
"284" "chr11" 11870425 11926327
"15" "chr1" 61685816 62684497
"265" "chr11" 115110482 115128557
"1200" "chr6" 93625448 94233898
"1165" "chr6" 119125270 119170222
"67" "chr1" 129101562 129379549
"241" "chr11" 64990071 64995659
"114" "chr1" 166793263 166801569
"1270" "chr7" 47518074 47525123
"962" "chr4" 32588477 32590626
"1068" "chr5" 145002558 145017055
"128" "chr1" 166367397 166388486
"484" "chr13" 29124262 29126901
"505" "chr14" 48160568 48188089
"628" "chr16" 96052729 96120320
"705" "chr17" 47367178 47496407
"68" "chr1" 193130675 193141997
"1338" "chr8" 97318070 97326336
"600" "chr16" 43619100 43622028
"948" "chr3" 152059657 152125790
"1004" "chr4" 40629110 40649949
"374" "chr12" 37108733 37416035
"1398" "chr8" 130666469 130821371
"1025" "chr5" 58844277 58846531
"1278" "chr7" 143045364 143047395
"807" "chr19" 24748497 24754151
"434" "chr13" 32191095 32430413
"386" "chr12" 8017207 8023641
"761" "chr18" 35142578 35269099
"134" "chr1" 129383128 129574598
"1330" "chr8" 28234303 28239104
"554" "chr15" 12387552 12669679
"927" "chr3" 115952573 115956372
"810" "chr19" 27484219 27495973
"983" "chr4" 53259067 53263987
"43" "chr1" 51345969 51359804
"325" "chr12" 8214930 8292558
"758" "chr18" 4994933 5003074
"649" "chr17" 83614641 83624405
"1359" "chr8" 127316991 127358604
"709" "chr17" 14804160 14831097
"1365" "chr8" 129881174 129922650
"279" "chr11" 66025230 66339628
"783" "chr19" 57107753 57290522
"1286" "chr8" 122728333 122752130
"287" "chr11" 62945011 62973048
"1063" "chr5" 67488282 67490365
"594" "chr16" 84954687 85056771
"1059" "chr5" 148894463 149045200
"395" "chr12" 5815022 5862948
"1166" "chr6" 38933308 39023205
"589" "chr16" 95924092 95942656
"733" "chr17" 49754496 50049172
"943" "chr3" 28162135 28569507
"776" "chr18" 13845867 14130229
"192" "chr10" 92916140 92947641
"1373" "chr8" 11313023 11449215
"738" "chr18" 9212917 9214975
"308" "chr12" 30859858 30928216
"621" "chr16" 85452463 85456550
"322" "chr12" 12942898 12947422
"955" "chr3" 21652450 21661453
"1391" "chr8" 37630798 37796105
"269" "chr11" 115110482 115128557
"1107" "chr5" 91223559 91232093
"417" "chr12" 5815022 5862948
"1284" "chr8" 120315544 120325829
"722" "chr17" 14804160 14831097
"1206" "chr6" 133985724 134220165
"1182" "chr6" 88855942 88862234
"135" "chr1" 129383128 129574598
"316" "chr12" 32621323 32635088
"1020" "chr4" 150750578 150753691
"346" "chr12" 32798533 32808567
"310" "chr12" 33505339 33536473
"1322" "chr8" 122516375 122575696
"258" "chr11" 3085570 3093466
"1399" "chr8" 130666469 130821371
"1354" "chr8" 106878415 106919596
"398" "chr12" 39279394 39341108
"580" "chr15" 59085453 59085486
"340" "chr12" 104632110 104644553
"205" "chr10" 69903673 70021479
"1288" "chr8" 36645625 36652026
"949" "chr3" 152059657 152125790
"777" "chr18" 13845867 14130229
"801" "chr19" 56394531 56464525
"383" "chr12" 5382675 5423111
"318" "chr12" 73078617 73093354
"1082" "chr5" 35292099 35376242
"1439" "chr9" 26908252 26962965
"289" "chr11" 68005694 68009655
"762" "chr18" 58168276 58369580
"72" "chr1" 173353315 173367449
"1009" "chr4" 118634182 118641493
"1347" "chr8" 119445639 119465403
"520" "chr14" 73952592 73995949
"465" "chr13" 91508594 91527690
"1327" "chr8" 127432485 127472154
"73" "chr1" 65108416 65109983
"1469" "chr9" 25289181 25411695
"824" "chr2" 165898588 165980785
"1015" "chr4" 16091231 16193372
"632" "chr16" 21216889 21223377
"329" "chr12" 7984453 8012745
"797" "chr19" 55141757 55177617
"162" "chr10" 3496433 3587948
"1372" "chr8" 128275407 128298028
"79" "chr1" 79603456 79668538
"1250" "chr7" 89556983 89614354
"253" "chr11" 82879253 82884748
"999" "chr4" 83063647 83113501
"1307" "chr8" 128275407 128298028
"1281" "chr8" 80737240 80918225
"1072" "chr5" 151875647 151992769
"1193" "chr6" 21935909 22205606
"803" "chr19" 57107753 57271982
"1188" "chr6" 91466028 91472614
"1101" "chr5" 72947673 72950252
"1036" "chr5" 119644321 119650027
"401" "chr12" 99440509 99497547
"519" "chr14" 22838933 23397196
"336" "chr12" 114378757 114383717
"663" "chr17" 73457333 73592706
"403" "chr12" 29436730 29552356
"561" "chr15" 76845916 76853070
"1088" "chr5" 140981562 141001192
"458" "chr13" 63341350 63427404
"739" "chr18" 56559990 56663446
"839" "chr2" 152987036 153036199
"1314" "chr8" 128519069 128554585
"63" "chr1" 99830047 99873836
"1392" "chr8" 36439732 36451191
"710" "chr17" 12841740 12868704
"1202" "chr6" 37281020 37392139
"1018" "chr4" 56233488 56237393
"330" "chr12" 32171765 32184405
"510" "chr14" 75415833 75452339
"654" "chr17" 81296132 81332385
"837" "chr2" 9837222 9862686
"1444" "chr9" 123276057 123371782
"174" "chr10" 45009110 45038256
"1002" "chr4" 56752876 56754297
"939" "chr3" 145883948 145949150
"1220" "chr6" 117118580 117131385
"615" "chr16" 87376895 87381438
"1114" "chr5" 150416861 150438890
"1348" "chr8" 125299477 125304535
"404" "chr12" 15798532 15823591
"407" "chr12" 80398337 80609641
"834" "chr2" 20769545 20803478
"727" "chr17" 14536066 14541771
"1411" "chr8" 130666469 130821371
