"chromosome" "gene.start" "gene.end"
"18867" "chr8" 107996324 108020770
"3220" "chr11" 16805187 16810258
"18364" "chr8" 26060098 26127260
"12138" "chr3" 107241220 107261816
"13837" "chr5" 28397906 28405201
"2096" "chr1" 170049494 170362389
"9966" "chr19" 35012742 35050221
"5999" "chr14" 22319075 22491355
"14546" "chr5" 92566963 92631821
"1206" "chr1" 129380635 129383814
"1012" "chr1" 108069587 108290822
"5471" "chr12" 117643874 117702004
"12741" "chr4" 55576136 55612168
"776" "chr1" 84836429 84897059
"12449" "chr4" 9771518 9789492
"18295" "chr8" 11627668 11635689
"9986" "chr19" 36946968 36967370
"20199" "chr9" 71326250 71332765
"11000" "chr2" 128891727 128919485
"14437" "chr5" 74591350 74595502
"5366" "chr12" 103367628 103505301
"12650" "chr4" 46090027 46112580
"4994" "chr12" 72641593 72657120
"15950" "chr6" 56319698 56321936
"6334" "chr14" 63741301 63764758
"6536" "chr15" 5135524 5168332
"8426" "chr17" 24090051 24092240
"2979" "chr10" 111409812 111424139
"75" "chr1" 33539198 33539228
"12135" "chr3" 107129027 107136207
"9764" "chr19" 10708781 10739652
"6861" "chr15" 63920100 64214481
"19202" "chr8" 123260275 123280592
"20154" "chr9" 64349329 64534574
"7205" "chr15" 85411571 85424138
"8846" "chr17" 50648741 50827795
"9391" "chr18" 44821318 44835925
"20222" "chr9" 73327230 73781374
"19250" "chr8" 124991049 124992254
"9876" "chr19" 24335942 24355076
"16822" "chr7" 20501112 20506441
"8663" "chr17" 32902441 32925232
"16338" "chr6" 92722692 92809927
"19798" "chr9" 21572522 21602961
"210" "chr1" 43179918 43220806
"11869" "chr3" 83964366 84024783
"17401" "chr7" 100023806 100082509
"13614" "chr5" 4803732 5266032
"10470" "chr2" 31668813 31701486
"18022" "chr7" 134562577 134565536
"4740" "chr12" 32611340 32635088
"6669" "chr15" 37853707 37890810
"12581" "chr4" 40917975 40973025
"8665" "chr17" 33016165 33028472
"19604" "chr8" 130666469 130821371
"16665" "chr6" 124365248 124368063
"16040" "chr6" 72253241 72264364
"13373" "chr4" 128735652 128763125
"2766" "chr10" 75922311 75931859
"3152" "chr11" 5701646 5703736
"6834" "chr15" 63760651 63829524
"13582" "chr5" 3661758 3680325
"13026" "chr4" 100824578 100937887
"7521" "chr16" 11779822 11781593
"5119" "chr12" 81856788 81861674
"2004" "chr1" 166367397 166388486
"9751" "chr19" 10257462 10271364
"6113" "chr14" 26275222 26280614
"14972" "chr5" 125528171 125536358
"13674" "chr5" 17080633 17236085
"7813" "chr16" 31258136 31275363
"11867" "chr3" 83891855 83959617
"12463" "chr4" 11506808 11514738
"4004" "chr11" 84797989 84953457
"11636" "chr3" 37613111 37623282
"12364" "chr3" 145883948 145949150
"9672" "chr19" 5460693 5464994
"17649" "chr7" 117037294 117103936
"15451" "chr6" 11850372 11857446
"12492" "chr4" 19536819 19636140
"151" "chr1" 36392574 36424879
"15989" "chr6" 66986592 67030646
"13276" "chr4" 120078013 120202560
"6432" "chr14" 75484112 75530688
"2483" "chr10" 12811580 12844974
"18081" "chr7" 139749157 139768081
"18527" "chr8" 46744156 46913258
"9181" "chr18" 4634926 4682867
"4093" "chr11" 98565904 98590681
"18980" "chr8" 113443821 113495457
"7746" "chr16" 25960408 26105870
"3539" "chr11" 61022246 61031916
"11752" "chr3" 57645816 57650899
"5000" "chr12" 72990716 73093354
"16434" "chr6" 97879839 97963810
"19398" "chr8" 127578094 127785051
"8593" "chr17" 30142031 30346965
"5623" "chr13" 44826717 45016346
"9282" "chr18" 24867945 25292002
"3573" "chr11" 62062485 62079954
"10613" "chr2" 59450100 59684206
"20489" "chr9" 117974212 118059198
"19259" "chr8" 125102140 125135241
"849" "chr1" 91524327 91791857
"17659" "chr7" 117265572 117286813
"9268" "chr18" 21230844 21258700
"12836" "chr4" 61961375 62021528
"15589" "chr6" 30603456 30643682
"12101" "chr3" 104442590 104462385
"11693" "chr3" 51493354 51600457
"1086" "chr1" 121554669 121733648
"3695" "chr11" 66025230 66339628
"15992" "chr6" 66986592 67030646
"9344" "chr18" 38004478 38095065
"8073" "chr16" 56690444 56717467
"7028" "chr15" 75609709 75658639
"13140" "chr4" 109123711 109126438
"5920" "chr14" 20570478 20631009
"9200" "chr18" 6934997 7004754
"951" "chr1" 99540479 99558253
"11883" "chr3" 84756132 84781551
"2586" "chr10" 41719615 41738186
"15326" "chr5" 149316206 149364364
"16868" "chr7" 28127151 28140729
"4149" "chr11" 104469369 104528689
"19132" "chr8" 122190264 122211920
"8968" "chr17" 71554015 71597565
"1078" "chr1" 121491407 121545194
"18034" "chr7" 134913328 134918664
"12081" "chr3" 104154557 104170536
"8741" "chr17" 43938799 44176465
"5715" "chr13" 63973762 64001609
"8074" "chr16" 56690444 56717467
"18835" "chr8" 107176516 107182347
"14779" "chr5" 111759782 111817379
"450" "chr1" 60803311 60830203
"12349" "chr3" 145239194 145268209
"11929" "chr3" 87946316 87973562
"15593" "chr6" 30846980 30865573
"18921" "chr8" 109394141 109406802
"1961" "chr1" 164846681 164867646
"850" "chr1" 91524327 91791857
"6773" "chr15" 58884302 58913544
"6736" "chr15" 57526221 57671387
"12877" "chr4" 81936076 81941365
"1316" "chr1" 133151178 133173525
"12662" "chr4" 48064117 48096224
"8612" "chr17" 30559682 30561386
"5310" "chr12" 99672203 99812922
"15403" "chr5" 151875647 151992769
"3190" "chr11" 11714105 11722924
"4274" "chr11" 120317917 120319377
"9811" "chr19" 16720067 16752599
"422" "chr1" 59589834 59605632
"4089" "chr11" 97632794 97637232
"12497" "chr4" 19803990 19849713
"7501" "chr16" 11072853 11073029
"15135" "chr5" 136838164 137043301
"1585" "chr1" 136859153 136870714
"3370" "chr11" 45869488 45960844
"18860" "chr8" 107991391 107995267
"19332" "chr8" 126415666 126418636
"6327" "chr14" 62221867 62301165
"561" "chr1" 71074112 71075238
"8115" "chr16" 70314331 70569961
"12127" "chr3" 105717053 105726960
"7831" "chr16" 32644946 32683579
"413" "chr1" 59383514 59409292
"11720" "chr3" 52845468 53065601
"15066" "chr5" 131913551 133018213
"20109" "chr9" 55889651 55909689
"10187" "chr19" 53384995 53450300
"16095" "chr6" 83051509 83059926
"8736" "chr17" 43938799 44176465
"16142" "chr6" 84521937 84538632
"3079" "chr10" 127472628 127485689
"7573" "chr16" 16983474 17047546
"2397" "chr1" 192752733 192769617
"9888" "chr19" 27335224 27336813
"14680" "chr5" 104476029 104494386
"781" "chr1" 87691931 87746940
"2261" "chr1" 180867240 180869330
"2212" "chr1" 177504439 177508546
"1304" "chr1" 132950280 132994120
"12440" "chr4" 8488298 8505184
"19029" "chr8" 119970878 119983323
"10268" "chr19" 57348449 57351542
"14739" "chr5" 109009097 109054110
"8995" "chr17" 73267665 73291282
"16613" "chr6" 117867376 117867522
"6825" "chr15" 62049095 62051006
"20247" "chr9" 77214218 77247223
"18798" "chr8" 97876236 97898193
"771" "chr1" 83261701 83404741
"13612" "chr5" 4803732 5266032
"17808" "chr7" 122614857 122945123
"18534" "chr8" 47118625 47202056
"17061" "chr7" 56502177 56749370
"6923" "chr15" 67915328 68090409
"5451" "chr12" 113180557 113182686
"10937" "chr2" 119345139 119373363
"3169" "chr11" 6497825 6506057
"16446" "chr6" 98904314 98978688
"15049" "chr5" 132463879 132467955
"14479" "chr5" 77516014 77524280
"13587" "chr5" 3928185 4080204
"8633" "chr17" 31194685 31252719
"3563" "chr11" 61890598 62036515
"10007" "chr19" 37331865 37331895
"7440" "chr16" 8696272 8698943
"11695" "chr3" 51908252 51908998
"7839" "chr16" 33251541 33299648
"9645" "chr19" 4889157 4897717
"8983" "chr17" 73186043 73200535
"6823" "chr15" 62049095 62051006
"3408" "chr11" 55208002 55223499
"13494" "chr4" 144494620 144521129
"6668" "chr15" 36926781 36937157
"16063" "chr6" 72558414 72566994
"1462" "chr1" 135142682 135198226
"12385" "chr3" 148478549 148486015
"4948" "chr12" 55857831 55896649
"12576" "chr4" 40805986 40838160
"7064" "chr15" 76912768 76984080
"650" "chr1" 74994297 74998225
"2825" "chr10" 82337349 82340130
"12191" "chr3" 115975470 116126950
"16031" "chr6" 71911517 71934929
"7891" "chr16" 34994949 35002520
"16362" "chr6" 93625448 93863684
"12525" "chr4" 32588477 32590626
"20101" "chr9" 51881983 51886145
"17269" "chr7" 87599976 87679874
"6429" "chr14" 75163129 75205865
"2349" "chr1" 185858339 185899515
"10978" "chr2" 121782188 121839322
"18080" "chr7" 138966146 138966306
"1522" "chr1" 136352131 136387450
"9961" "chr19" 34885383 34952407
"10061" "chr19" 41920469 41922622
"8184" "chr16" 87455300 87483758
"6068" "chr14" 23403627 23875307
"6515" "chr14" 122629127 122632830
"6513" "chr14" 121959804 122138151
"9228" "chr18" 12105765 12107743
"15972" "chr6" 65728955 65886371
"14193" "chr5" 42016214 42099394
"6512" "chr14" 121869877 121891691
"10122" "chr19" 45619240 45620834
"16190" "chr6" 86686840 86743550
"16553" "chr6" 113678045 113690675
"17752" "chr7" 119809073 119823595
"17430" "chr7" 105751092 105805079
"99" "chr1" 33818597 33871272
"12715" "chr4" 54960816 55096435
"1046" "chr1" 120285634 120506039
"19561" "chr8" 129823507 129957044
"7945" "chr16" 43247396 43619183
"6119" "chr14" 26406289 26410147
"12504" "chr4" 32051096 32107767
"18095" "chr7" 140141304 140175634
"8247" "chr16" 92392197 92400322
"4155" "chr11" 105043203 105143490
"14057" "chr5" 34886013 34906275
"7930" "chr16" 38085149 38088868
"14703" "chr5" 107330905 107354909
"4411" "chr12" 5382675 5423111
"17685" "chr7" 117960048 117981043
"15730" "chr6" 36473209 36474610
"16784" "chr7" 16534335 16552884
"18220" "chr7" 150174873 150193938
"20404" "chr9" 107904978 107951113
"12376" "chr3" 148478549 148486015
"13219" "chr4" 116887794 116924522
"17418" "chr7" 104728405 104835302
"10236" "chr19" 55816759 56007727
"9255" "chr18" 16747517 16967755
"11288" "chr2" 157563197 157717350
"12482" "chr4" 14791365 14842407
"8246" "chr16" 92346245 92359119
"176" "chr1" 37501406 37552940
"9546" "chr18" 65960231 65977311
"6792" "chr15" 59205801 59433236
"19638" "chr8" 130666469 130821371
"1922" "chr1" 162187335 162723069
"359" "chr1" 55294020 55296902
"13890" "chr5" 30444843 30481520
"10069" "chr19" 42056252 42109131
"1466" "chr1" 135142682 135198226
"14150" "chr5" 37138612 37139918
"17103" "chr7" 72726916 72763757
"17128" "chr7" 74391423 74395004
"15282" "chr5" 147760286 147767179
"564" "chr1" 71289691 71295013
"10054" "chr19" 41158470 41281264
"10572" "chr2" 49983889 50049084
"14140" "chr5" 36913829 36928873
"11182" "chr2" 153233202 153270214
"6981" "chr15" 72937290 73015239
"4514" "chr12" 8879995 8884265
"9403" "chr18" 46664259 46685625
"12837" "chr4" 62046525 62052803
"18886" "chr8" 108240012 108282507
"11613" "chr3" 36347846 36374620
"13850" "chr5" 28784813 29260535
"13791" "chr5" 24408386 24412665
"384" "chr1" 57902414 58003809
"10455" "chr2" 30568669 30572563
"6506" "chr14" 106024625 106042942
"12594" "chr4" 41337780 41411881
"13349" "chr4" 125827845 125839870
"2975" "chr10" 111409812 111424139
"9551" "chr18" 68092910 68415203
"11992" "chr3" 94964415 94977238
"16076" "chr6" 72800376 72849286
"4848" "chr12" 41561207 41573075
"11462" "chr2" 179646850 179711351
"6336" "chr14" 63763987 63797328
"158" "chr1" 36528829 36563796
"3757" "chr11" 68761733 68765676
"10506" "chr2" 34532501 34556370
"4913" "chr12" 53604958 53646626
"17187" "chr7" 80536112 80564783
"10626" "chr2" 60588250 60589954
"6050" "chr14" 22650782 22665101
"19323" "chr8" 126177828 126187780
"3521" "chr11" 60591026 60601789
"13559" "chr4" 150844284 151235855
"12585" "chr4" 41039756 41045216
"9805" "chr19" 16510251 16685310
"18412" "chr8" 34852587 34858242
"9566" "chr18" 74893418 74931131
"15107" "chr5" 136211359 136220042
"3953" "chr11" 80063175 80081409
"5578" "chr13" 36209279 36629462
"6875" "chr15" 65618602 65705374
"2746" "chr10" 74980786 74998185
"2884" "chr10" 87936277 87966610
"9048" "chr17" 75578221 75791109
"3983" "chr11" 83116198 83218535
"3181" "chr11" 8948594 8969357
"9032" "chr17" 74698826 74715476
"4059" "chr11" 94852525 94868197
"14897" "chr5" 122267223 122286810
"1293" "chr1" 132950280 132994120
"11634" "chr3" 37319219 37478013
"1890" "chr1" 157122786 157264574
"19404" "chr8" 127578094 127785051
"15147" "chr5" 137819864 137918292
"10863" "chr2" 101400937 101461203
"14521" "chr5" 90045462 90049112
"13246" "chr4" 118035347 118047729
"3846" "chr11" 72829366 72832343
"10962" "chr2" 120532000 120541618
"4138" "chr11" 102977638 102981038
"3266" "chr11" 23565975 23632876
"17665" "chr7" 117365274 117427020
"8643" "chr17" 31981194 31992737
"4863" "chr12" 45953472 46175470
"15248" "chr5" 145002558 145017055
"20072" "chr9" 44121053 44128365
"12073" "chr3" 103770498 103772239
"302" "chr1" 52242123 52264203
"4571" "chr12" 10397587 10402367
"3283" "chr11" 29999394 30119772
"7273" "chr15" 98860321 98868536
"12589" "chr4" 41141347 41222168
"6165" "chr14" 29718128 30535050
"5743" "chr13" 76393394 76409906
"8006" "chr16" 49210753 49255885
"997" "chr1" 107417716 107560239
"20251" "chr9" 77484538 77507929
"3123" "chr11" 4118253 4122412
"5271" "chr12" 91991647 92208238
"8232" "chr16" 91782405 91803376
"1057" "chr1" 121312041 121318825
"7570" "chr16" 16903416 16927455
"8328" "chr17" 7464984 7490383
"209" "chr1" 43155554 43172791
"15260" "chr5" 145637363 145726699
"3383" "chr11" 49488211 49498637
"2129" "chr1" 172254041 172487241
"8493" "chr17" 26279562 26332756
"13123" "chr4" 108562894 108615929
"294" "chr1" 51345969 51359804
"15621" "chr6" 31616177 31693316
"8613" "chr17" 30559682 30561386
"8456" "chr17" 24966013 24976732
"6748" "chr15" 58247036 58289295
"9762" "chr19" 10680114 10704311
"13461" "chr4" 137476703 137514104
"20314" "chr9" 95654457 95745679
"18190" "chr7" 148641105 148645993
"5210" "chr12" 86681563 86691870
"3239" "chr11" 20202207 20232674
"4064" "chr11" 95198331 95243182
"1313" "chr1" 133151178 133173525
"2901" "chr10" 92670916 92729818
"8569" "chr17" 29169617 29180311
"13445" "chr4" 134769884 134828675
"1463" "chr1" 135142682 135198226
"4297" "chr12" 3403882 3426644
"9224" "chr18" 11049928 11052565
"19299" "chr8" 125717850 125725124
"16020" "chr6" 71657853 71760696
"16932" "chr7" 31093771 31099322
"6137" "chr14" 27928084 28217090
"4425" "chr12" 5815022 5862948
"1394" "chr1" 134212714 134230065
"6968" "chr15" 72636029 72640754
"7062" "chr15" 76910908 76984080
"6340" "chr14" 63817751 63864097
"15642" "chr6" 32742226 33010152
"13233" "chr4" 117567097 117568234
"11075" "chr2" 144290911 144292468
"10185" "chr19" 53323265 53329688
"8019" "chr16" 50197274 50331106
"14302" "chr5" 64551449 64742725
"10406" "chr2" 28496762 28546687
"17937" "chr7" 130358379 130416765
"13901" "chr5" 30890542 30927643
"12046" "chr3" 100370339 100489150
"9547" "chr18" 67448876 67478495
"6934" "chr15" 67915328 68090409
"4624" "chr12" 16684493 16713094
"9808" "chr19" 16707046 16715190
"7030" "chr15" 75609709 75658639
"7639" "chr16" 21204867 21223377
"10126" "chr19" 45868159 45886781
"8558" "chr17" 28536041 28623033
"7090" "chr15" 78229985 78236289
"18544" "chr8" 47660947 47702554
"19960" "chr9" 35011805 35018555
"12888" "chr4" 81941981 82144673
"6086" "chr14" 25425925 25436533
"11813" "chr3" 68376289 68430386
"13444" "chr4" 134769884 134828675
"7827" "chr16" 32431081 32472101
"17847" "chr7" 125262413 125273077
"18558" "chr8" 48912963 49075905
"6233" "chr14" 46703701 46704665
"16117" "chr6" 83462903 83486219
"3607" "chr11" 62945011 62973048
"15410" "chr5" 152171279 152216658
"5194" "chr12" 86095508 86114062
"4903" "chr12" 52891468 52930340
"12441" "chr4" 8488298 8505184
"737" "chr1" 82233184 82287991
"15334" "chr5" 149687650 149740199
"12551" "chr4" 34758748 34830198
"7834" "chr16" 32821821 32825006
"12262" "chr3" 122726960 122737867
"13270" "chr4" 120078013 120202560
"993" "chr1" 107252583 107258207
"6481" "chr14" 99575789 99642297
"20124" "chr9" 58476911 58505762
"17954" "chr7" 130565051 130571705
"19703" "chr8" 131248095 131257097
"6909" "chr15" 66738181 66744651
"14829" "chr5" 117807313 117828598
"1364" "chr1" 133859543 133879541
"3046" "chr10" 121518315 121534158
"2660" "chr10" 59569004 59596661
"4524" "chr12" 8954801 8978299
"19842" "chr9" 25072977 25084400
"14662" "chr5" 101269772 101276186
"13713" "chr5" 22251876 22781415
"700" "chr1" 78180032 78193711
"15979" "chr6" 66846886 66971288
"7568" "chr16" 16860766 16864078
"355" "chr1" 55042012 55047959
"8618" "chr17" 30559682 30561386
"13061" "chr4" 104829951 104905372
"16662" "chr6" 122259027 122267695
"14242" "chr5" 51848892 51945100
"13539" "chr4" 148721993 148739386
"19229" "chr8" 124530990 124549969
"18475" "chr8" 37630798 37796105
"13875" "chr5" 30062479 30113018
"8966" "chr17" 71554015 71597565
"7295" "chr15" 99252464 99288179
"8561" "chr17" 28829512 28885350
"15320" "chr5" 149316206 149364364
"4585" "chr12" 11272691 11326591
"8296" "chr17" 5040579 5127640
"4930" "chr12" 53955707 53989050
"3035" "chr10" 120360466 120416386
"9079" "chr17" 79733364 79754431
"19786" "chr9" 21172446 21209805
"9822" "chr19" 17030607 17296895
"19593" "chr8" 129933455 129939697
"12545" "chr4" 33397285 33589585
"5732" "chr13" 73942056 73946633
"9117" "chr17" 83614641 83624405
"17002" "chr7" 51723483 51727021
"19199" "chr8" 123260275 123280592
"15030" "chr5" 132463879 132467955
"20012" "chr9" 41283019 41423263
"8531" "chr17" 27054035 27069524
"17963" "chr7" 132746990 132777084
"7826" "chr16" 32230197 32247111
"19844" "chr9" 25106920 25111652
"8213" "chr16" 90751772 90774715
"4652" "chr12" 25675540 25744562
"15722" "chr6" 36337380 36338917
"20282" "chr9" 87599033 87626095
"4911" "chr12" 53198742 53411946
"6297" "chr14" 58201107 58283793
"8414" "chr17" 23819550 23820985
"508" "chr1" 63669424 63733501
"19573" "chr8" 129933455 129939697
"3345" "chr11" 43588107 43649834
"20435" "chr9" 110585368 110585390
"13721" "chr5" 22999077 23000703
"9250" "chr18" 13845867 14130229
"13321" "chr4" 123073155 123110712
"17166" "chr7" 77510044 77556032
"13706" "chr5" 21049376 21081720
"14305" "chr5" 64621640 64742725
"15155" "chr5" 138187223 138209621
"11909" "chr3" 84299985 85691315
"11904" "chr3" 85463987 85477910
"10344" "chr2" 14795282 14908560
"2957" "chr10" 107769244 107851447
"7691" "chr16" 23965137 23988698
"13651" "chr5" 9118106 9120833
"10507" "chr2" 34532501 34556370
"11247" "chr2" 155654918 155660589
"1092" "chr1" 121554669 121733648
"3611" "chr11" 62945011 62973048
"4238" "chr11" 117582263 117624753
"9545" "chr18" 65590650 65638446
"10202" "chr19" 53751795 53918253
"19955" "chr9" 32122367 32151822
"2915" "chr10" 93103945 93208631
"799" "chr1" 88423310 88427273
"11825" "chr3" 69378107 69402783
"19399" "chr8" 127578094 127785051
"17877" "chr7" 127821259 127874766
"10961" "chr2" 120528277 120557631
"7123" "chr15" 81494365 81518735
"5263" "chr12" 88648838 88669563
"19743" "chr9" 15125643 15128735
"1472" "chr1" 135247142 135256900
"4749" "chr12" 32611340 32635088
"7486" "chr16" 10783901 10785629
"12103" "chr3" 104625852 104667312
"1314" "chr1" 133151178 133173525
"13465" "chr4" 138659698 138686686
"18549" "chr8" 48589598 48596702
"8819" "chr17" 46935230 46969263
"13419" "chr4" 131907847 131909548
"7015" "chr15" 74573268 74577117
"16003" "chr6" 70732073 70742169
"19678" "chr8" 130979384 131012012
"16558" "chr6" 114593142 114809954
"11059" "chr2" 142444080 142474499
"5400" "chr12" 109873962 109926725
"1741" "chr1" 141070286 141072615
"8249" "chr16" 93343960 93353434
"14276" "chr5" 54496459 54511442
"10296" "chr19" 60966378 61168245
"1606" "chr1" 137159288 137180606
"19555" "chr8" 129823507 129957044
"15706" "chr6" 35202698 35211997
"16418" "chr6" 97060937 97098877
"9070" "chr17" 79733364 79754431
"4099" "chr11" 98656829 98667741
"11160" "chr2" 152987036 153036199
"16366" "chr6" 93625448 93863684
"13260" "chr4" 119310336 119312070
"11796" "chr3" 66775648 66785063
"12653" "chr4" 46160242 46185274
"3503" "chr11" 60054071 60166407
"15195" "chr5" 140683338 140686715
"18952" "chr8" 111238543 111485536
"4645" "chr12" 25516463 25645164
"9263" "chr18" 20716616 20761322
"10652" "chr2" 64774347 64813803
"19958" "chr9" 34878856 34887989
"9980" "chr19" 36908863 36947041
"11961" "chr3" 94288248 94296115
"15383" "chr5" 151476401 151613245
"15804" "chr6" 38647904 38787310
"14241" "chr5" 51848892 51945100
"11744" "chr3" 57090985 57105841
"7665" "chr16" 22511552 22517754
"18383" "chr8" 28270299 28281163
"9674" "chr19" 5465241 5468498
"19871" "chr9" 26908252 26962965
"1782" "chr1" 153214828 153275511
"583" "chr1" 72998105 73007478
"744" "chr1" 82336893 82441941
"9320" "chr18" 35062438 35091657
"14981" "chr5" 125868408 125870440
"12290" "chr3" 127264392 127320934
"13637" "chr5" 5664830 5694077
"10446" "chr2" 29857750 29886970
"1339" "chr1" 133181827 133422170
"2477" "chr10" 12728259 12728971
"7065" "chr15" 76912768 76984080
"18123" "chr7" 143045364 143047395
"2290" "chr1" 182095270 182123597
"8683" "chr17" 33959994 33961427
"1644" "chr1" 137625773 137648806
"6595" "chr15" 12337014 12479632
"8364" "chr17" 12612839 12700570
"9042" "chr17" 75404868 75791109
"8867" "chr17" 56179838 56207855
"17953" "chr7" 130565051 130571705
"4392" "chr12" 4976157 5020849
"15905" "chr6" 52105365 52108309
"15004" "chr5" 130620757 130631678
"18456" "chr8" 37279117 37312570
"8080" "chr16" 57156777 57167445
"7047" "chr15" 76424722 76426238
"7475" "chr16" 10600643 10744964
"19003" "chr8" 114239182 114240514
"8760" "chr17" 44325520 44417117
"7905" "chr16" 35311216 35364004
"10766" "chr2" 75670248 75767706
"16004" "chr6" 70794520 70855234
"14931" "chr5" 123439362 123448348
"2273" "chr1" 181676221 181684203
"10324" "chr2" 6393039 6399665
"17323" "chr7" 89556983 89614354
"7949" "chr16" 43510272 43512495
"16208" "chr6" 87622375 87630229
"8159" "chr16" 86770471 86806609
"19862" "chr9" 26881917 26902900
"1307" "chr1" 132950280 132994120
"8250" "chr16" 93343960 93353434
"5980" "chr14" 21895373 22267768
"2535" "chr10" 24309110 24315618
"4418" "chr12" 5815022 5862948
"16295" "chr6" 90963063 91005411
"10224" "chr19" 55390840 55701051
"8536" "chr17" 27280915 27304709
"8385" "chr17" 14804160 14831097
"12286" "chr3" 126486872 126511403
"1021" "chr1" 108069587 108290822
"8976" "chr17" 72036040 72079009
"388" "chr1" 57902414 58003809
"95" "chr1" 33510655 33726603
"1068" "chr1" 121426056 121432742
"2880" "chr10" 87842156 87910074
"9055" "chr17" 78599836 78773654
"624" "chr1" 74438172 74443859
"14749" "chr5" 110596526 110605523
"20515" "chr9" 119392528 119488134
"19341" "chr8" 126547359 126572404
"6005" "chr14" 22320106 22483970
"14167" "chr5" 38430473 38528057
"18608" "chr8" 63992040 64069939
