"chromosome" "start" "end"
"12512" "chr5" 143722033 143734868
"11378" "chr5" 4753838 4757971
"14544" "chr7" 133507341 133513048
"14842" "chr8" 23687572 23704230
"1084" "chr1" 156944655 156946766
"3289" "chr12" 8680939 8757145
"8162" "chr19" 40385937 40588302
"5259" "chr15" 11894097 11899838
"986" "chr1" 152239982 152297059
"11189" "chr4" 135699736 135701302
"10707" "chr4" 83063647 83113501
"644" "chr1" 93829331 93903432
"2755" "chr11" 75645659 75724561
"3741" "chr12" 81018005 81025720
"11138" "chr4" 131911892 131978322
"6574" "chr17" 6942479 6987129
"9444" "chr3" 7572076 7612893
"13649" "chr7" 3655642 3658499
"2639" "chr11" 66025230 66339628
"11383" "chr5" 4753838 4757971
"14526" "chr7" 132973180 133018311
"14712" "chr7" 151662663 151675242
"2753" "chr11" 75492811 75519594
"2268" "chr11" 11700290 11708933
"15615" "chr8" 124254462 124318176
"907" "chr1" 136090024 136097809
"14109" "chr7" 88259684 88315302
"14037" "chr7" 82892493 82894353
"15301" "chr8" 89247905 89269833
"16391" "chr9" 70645934 70782615
"7589" "chr18" 52927797 53075584
"9873" "chr3" 95045214 95055024
"76" "chr1" 34282353 34319096
"6808" "chr17" 29627989 29632404
"11469" "chr5" 23825406 23835409
"1808" "chr10" 69903453 70014993
"9812" "chr3" 84299985 85691315
"8335" "chr19" 55816759 56007727
"2443" "chr11" 51398258 51416771
"8669" "chr2" 58675840 58773503
"8768" "chr2" 72314275 72324947
"6015" "chr16" 28826261 28929784
"11131" "chr4" 131481687 131628012
"14365" "chr7" 118262761 118266205
"240" "chr1" 57450164 57463279
"6716" "chr17" 25608534 25613539
"12592" "chr5" 149687650 149740199
"6659" "chr17" 15196307 15211957
"7359" "chr18" 6240811 6268385
"12655" "chr6" 4026903 4036927
"16256" "chr9" 52906741 53056196
"6407" "chr16" 86770471 86806609
"537" "chr1" 82583495 82718634
"2199" "chr10" 127707631 127729905
"2683" "chr11" 68859144 68865164
"13975" "chr7" 74792326 74871460
"8479" "chr2" 18620648 18671232
"16142" "chr9" 37352077 37360330
"15358" "chr8" 98388036 98412265
"4841" "chr14" 31163399 31304342
"15396" "chr8" 107872157 107893781
"5083" "chr14" 76904371 76907568
"1567" "chr10" 13686184 13871184
"13984" "chr7" 75293456 75378553
"3942" "chr12" 102150909 102184118
"4714" "chr14" 21871854 22267768
"3475" "chr12" 33505339 33536473
"13112" "chr6" 72463645 72470621
"4470" "chr13" 95128985 95336270
"6762" "chr17" 27054035 27069524
"9667" "chr3" 58380579 58397466
"1821" "chr10" 70387847 70609608
"2226" "chr11" 4167097 4172517
"1924" "chr10" 82448241 82658636
"8531" "chr2" 27044901 27088217
"10700" "chr4" 82543830 82667006
"14072" "chr7" 87239733 87243219
"9576" "chr3" 41359653 41420779
"13547" "chr6" 134346346 134388742
"4279" "chr13" 45616220 45616588
"16357" "chr9" 66198256 66258862
"9221" "chr2" 156439440 156590099
"10645" "chr4" 81062443 81088709
"11314" "chr4" 149118144 149148376
"12054" "chr5" 104183180 104284341
"11239" "chr4" 140976693 140981225
"15006" "chr8" 37630798 37796105
"8283" "chr19" 53218486 53321577
"15032" "chr8" 41509193 41570196
"704" "chr1" 107886982 107930130
"16272" "chr9" 56266652 56344743
"10332" "chr4" 14432343 14548904
"16678" "chr9" 111095544 111127829
"7427" "chr18" 16747517 16967755
"13184" "chr6" 86578167 86579698
"10090" "chr3" 122659107 122687365
"3899" "chr12" 99440509 99497547
"10543" "chr4" 56233488 56237393
"13357" "chr6" 108015039 108027116
"10247" "chr3" 153507210 153516579
"15861" "chr8" 129823507 129957044
"16059" "chr9" 26881917 26902900
"9386" "chr2" 178165311 178222071
"11714" "chr5" 53981812 54048684
"15146" "chr8" 59990672 59993284
"1558" "chr10" 12953955 13108776
"2039" "chr10" 106954415 107157083
"16355" "chr9" 66006073 66120049
"9741" "chr3" 78915422 78977120
"2477" "chr11" 55838491 55854489
"4645" "chr14" 9181461 9211277
"14672" "chr7" 149194457 149246939
"5078" "chr14" 76510697 76537186
"16165" "chr9" 41388823 41400910
"3686" "chr12" 75098747 75368903
"5883" "chr16" 16213437 16272805
"5944" "chr16" 22511552 22517754
"6277" "chr16" 50726863 50732856
"9217" "chr2" 156301572 156368950
"5446" "chr15" 59975824 60018963
"12319" "chr5" 125497524 125605350
"11384" "chr5" 4753838 4757971
"6148" "chr16" 35155721 35304635
"3826" "chr12" 86263966 86311815
"15529" "chr8" 120807654 121847348
"4359" "chr13" 59788762 59795462
"5558" "chr15" 77199923 77201440
"9962" "chr3" 105618484 105620267
"12202" "chr5" 120255337 120257878
"15013" "chr8" 37630798 37796105
"15417" "chr8" 108713012 108722604
"10139" "chr3" 136566015 136598743
"2547" "chr11" 60644188 60671648
"13198" "chr6" 88053677 88053958
"8044" "chr19" 29672236 29680386
"8155" "chr19" 40366529 40476800
"9727" "chr3" 68935154 68961099
"6952" "chr17" 44090139 44176465
"9764" "chr3" 81896348 81948995
"5140" "chr14" 103512627 103746017
"11050" "chr4" 123594675 123614240
"13349" "chr6" 100654727 100755075
"924" "chr1" 136675686 136700428
"11626" "chr5" 36235967 36346571
"9676" "chr3" 60332677 60433670
"9943" "chr3" 104154557 104170536
"10803" "chr4" 99602111 99659894
"13814" "chr7" 38495086 38558594
"1599" "chr10" 20067812 20081125
"9180" "chr2" 154202063 154233817
"8991" "chr2" 121332458 121370595
"5398" "chr15" 57701056 57723973
"419" "chr1" 72629844 72679706
"5440" "chr15" 59085453 59085486
"815" "chr1" 129625989 129664141
"6836" "chr17" 30559682 30561386
"15257" "chr8" 81552335 81717665
"3058" "chr11" 107858237 107858267
"16023" "chr9" 24552595 24578746
"8832" "chr2" 77744325 77746224
"6467" "chr16" 91054179 91069390
"13879" "chr7" 53450726 53493860
"15553" "chr8" 121868437 121872829
"11136" "chr4" 131911892 131978322
"7441" "chr18" 20716616 20761322
"6318" "chr16" 57121826 57154643
"11086" "chr4" 128727331 128735227
"12087" "chr5" 107535588 107718539
"164" "chr1" 43502595 43627357
"10357" "chr4" 32325924 32668174
"1297" "chr1" 173345635 173348873
"4540" "chr13" 105475010 105485061
"605" "chr1" 90967036 91050368
"8069" "chr19" 32670279 32741677
"14935" "chr8" 35153474 35171497
"2795" "chr11" 78828302 78873338
"12064" "chr5" 104476029 104494386
"9834" "chr3" 88357637 88373647
"11040" "chr4" 123216122 123241916
"8567" "chr2" 31615503 31659747
"11287" "chr4" 147360007 147361307
"9405" "chr2" 179992083 179993149
"13615" "chr6" 146369939 146450434
"4516" "chr13" 103524477 103577529
"14727" "chr8" 4226826 4236880
"1585" "chr10" 17619889 17667873
"331" "chr1" 62815542 62843665
"14242" "chr7" 107855215 107990144
"7484" "chr18" 33364320 33373470
"4784" "chr14" 25959280 25962727
"1713" "chr10" 53316766 53329021
"14089" "chr7" 87599976 87679874
"15387" "chr8" 107694573 107741886
"4451" "chr13" 93521540 93564713
"16743" "chr9" 123276057 123371782
"12761" "chr6" 29349588 29376953
"14216" "chr7" 106493895 106494154
"7867" "chr19" 6046661 6053710
"9299" "chr2" 164286470 164299964
"7191" "chr17" 79284236 79294440
"6243" "chr16" 45730509 45743017
"4234" "chr13" 41013002 41056261
"1471" "chr1" 193541902 193602508
"6575" "chr17" 6942479 6987129
"9383" "chr2" 178165311 178222071
"1525" "chr10" 7078769 7090333
"8658" "chr2" 51992166 52194318
"4622" "chr13" 118495570 118508818
"15513" "chr8" 120807654 121847348
"8866" "chr2" 84712102 84726849
"10137" "chr3" 136333733 136598743
"16530" "chr9" 92352215 92387354
"5471" "chr15" 66502331 66682282
"4685" "chr14" 21183788 21198098
"11989" "chr5" 98313706 98459981
"12731" "chr6" 24547770 24555414
"5271" "chr15" 12373085 12375420
"4712" "chr14" 21854031 21871407
"16540" "chr9" 95361395 95412415
"3455" "chr12" 32391731 32398744
"10551" "chr4" 56879797 56960301
"104" "chr1" 36392574 36424879
"4830" "chr14" 29718128 30535050
"8463" "chr2" 17268360 17652695
"6324" "chr16" 57353389 57515801
"4574" "chr13" 113078725 113146389
"15462" "chr8" 112302539 112384835
"7199" "chr17" 79451245 79489583
"6901" "chr17" 35187187 35195664
"13130" "chr6" 82675041 82724453
"14353" "chr7" 118066974 118125609
"16718" "chr9" 119354077 119374635
"2896" "chr11" 88860716 88881607
"11106" "chr4" 129497464 129527219
"9402" "chr2" 179911077 179960564
"12313" "chr5" 125343074 125369000
"5735" "chr15" 99450926 99482052
"8413" "chr2" 3035659 3145081
"363" "chr1" 64906871 64974671
"5960" "chr16" 24393823 24765211
"493" "chr1" 78099266 78193711
"12814" "chr6" 32461147 32465576
"5425" "chr15" 58774801 58872152
"8960" "chr2" 116947185 117005072
"10706" "chr4" 83063647 83113501
"5893" "chr16" 17152107 17201585
"9476" "chr3" 27081925 27143833
"14046" "chr7" 86418151 86506487
"16587" "chr9" 103207656 103252757
"11894" "chr5" 89316284 89668681
"1874" "chr10" 77863106 77875788
"9375" "chr2" 172847402 172860232
"10646" "chr4" 81062443 81088709
"6899" "chr17" 35174037 35183690
"11758" "chr5" 65203577 65221368
"2879" "chr11" 88152883 88180423
"10138" "chr3" 136566015 136598743
"14994" "chr8" 37568542 37576067
"16313" "chr9" 60371773 60393689
"12906" "chr6" 38413553 38434839
"6161" "chr16" 37011871 37095483
"3519" "chr12" 40732033 40763963
"1508" "chr10" 5151833 5326342
"10421" "chr4" 43045381 43053030
"14995" "chr8" 37630798 37676928
"4768" "chr14" 23403627 23875307
"1851" "chr10" 75324879 75324909
"13810" "chr7" 36234197 36251018
"3767" "chr12" 82829400 82881994
"11316" "chr4" 149270392 149283840
"4630" "chr14" 8751623 8756071
"163" "chr1" 43502595 43627357
"6327" "chr16" 57624368 57754850
"10222" "chr3" 151756804 151771304
"1990" "chr10" 92916140 92947641
"10989" "chr4" 118634182 118641493
"13704" "chr7" 25689425 25711610
"7170" "chr17" 75404868 75791109
"3740" "chr12" 81018005 81025720
"12003" "chr5" 99646438 99651467
"6281" "chr16" 51982588 51985898
"5410" "chr15" 58146127 58155724
"6039" "chr16" 29907604 29946603
"9130" "chr2" 150612531 150657484
"2617" "chr11" 65091155 65101335
"7611" "chr18" 53807804 53865072
"309" "chr1" 62749890 62865266
"6441" "chr16" 89787356 89974944
"10937" "chr4" 114079328 114287703
"1249" "chr1" 172254041 172487241
"7025" "chr17" 53618558 53647003
"4639" "chr14" 8930756 8997624
"5927" "chr16" 21152741 21154017
"13036" "chr6" 54766909 54839730
"12497" "chr5" 142939884 142954669
"1159" "chr1" 166367397 166388486
"16652" "chr9" 108686126 108708664
"4583" "chr13" 113108632 113130082
"3768" "chr12" 83270406 83551258
"490" "chr1" 77363759 77511663
"2976" "chr11" 100570389 100573768
"10439" "chr4" 44049698 44068229
"3535" "chr12" 45953472 46175470
"1026" "chr1" 153699532 153937229
"5512" "chr15" 72937290 73015239
"7304" "chr17" 87153241 87230922
"6702" "chr17" 24837597 24844598
"1175" "chr1" 166793263 166801569
"15681" "chr8" 125431834 125498692
"4886" "chr14" 45949498 45968746
"15292" "chr8" 87823689 87831969
"4938" "chr14" 55560762 55585408
"8576" "chr2" 32218580 32233817
"7992" "chr19" 24169000 24248478
"14799" "chr8" 13785614 13798537
"10194" "chr3" 145651616 145684007
"11880" "chr5" 77634132 77640478
"14036" "chr7" 82788204 82849425
"7871" "chr19" 6116003 6118586
"1846" "chr10" 74972440 74974031
"522" "chr1" 82229681 82233665
"4416" "chr13" 76964706 77171071
"13577" "chr6" 136820955 136824326
"3484" "chr12" 33987415 34053138
"14719" "chr8" 3150921 3258947
"12386" "chr5" 131913551 133018213
"5268" "chr15" 12373085 12375420
"8493" "chr2" 20211520 20732162
"9861" "chr3" 94288248 94296115
"13289" "chr6" 93625448 94233898
"1257" "chr1" 172254041 172487241
"9766" "chr3" 82161965 82187583
"9249" "chr2" 157807538 157835094
"12649" "chr5" 152171279 152216658
"952" "chr1" 137662709 137665711
"15012" "chr8" 37630798 37796105
"7417" "chr18" 13845867 14130229
"9313" "chr2" 165884663 165896966
"12878" "chr6" 36861466 36981028
"9893" "chr3" 97088830 97101701
"15116" "chr8" 59029930 59072736
"14826" "chr8" 18846278 18884413
"1753" "chr10" 61316104 61341140
"13816" "chr7" 38883002 38892509
"11069" "chr4" 126169407 126210484
"10609" "chr4" 59016370 59035862
"7763" "chr18" 75448313 75456983
"14642" "chr7" 146027500 146037950
"12757" "chr6" 29150439 29162271
"12166" "chr5" 116015271 116072663
"9417" "chr2" 180392668 180436805
"6849" "chr17" 31981194 31992737
"5347" "chr15" 38764616 38770168
"11929" "chr5" 92750629 92757105
"15218" "chr8" 73197290 73202651
"6160" "chr16" 35938555 35972691
"16437" "chr9" 73709293 73710802
"15538" "chr8" 120807654 121847348
"11911" "chr5" 91032101 91069513
"976" "chr1" 140874233 140875823
"12498" "chr5" 142939884 142954669
"14539" "chr7" 133024216 133225925
"3595" "chr12" 55959805 55963864
"13573" "chr6" 136481470 136536204
"6304" "chr16" 55902399 55934961
"9581" "chr3" 51028368 51055495
"3215" "chr12" 4824413 4834465
"4264" "chr13" 43258600 43266839
"13382" "chr6" 108527032 108610928
"4347" "chr13" 55816010 55827588
"8102" "chr19" 34885383 34952407
"4564" "chr13" 112215889 112278578
"2169" "chr10" 120847406 120913306
"1160" "chr1" 166367397 166388486
"6679" "chr17" 23899942 23907288
"5339" "chr15" 38591708 38621638
"12705" "chr6" 17015148 17055825
"9334" "chr2" 167028695 167066037
"9073" "chr2" 142444080 142474499
"16651" "chr9" 108505273 108509687
"524" "chr1" 82229681 82233665
"1251" "chr1" 172254041 172487241
"11255" "chr4" 141658305 141710515
"4860" "chr14" 32337595 32390503
"12062" "chr5" 104183591 104284341
"14824" "chr8" 18691336 18741551
"16364" "chr9" 66691470 66767494
"10027" "chr3" 116621179 116671870
"4258" "chr13" 43221256 43233881
"4366" "chr13" 59921478 59924494
"7889" "chr19" 7500390 7557779
"4656" "chr14" 13022456 13073830
"8583" "chr2" 32841885 32941886
"11959" "chr5" 93238413 93394785
"15069" "chr8" 46744156 46913258
"13278" "chr6" 93625448 93863684
"15014" "chr8" 37912179 38015490
"10422" "chr4" 43439891 43442006
"8401" "chr19" 60966378 61168245
"16182" "chr9" 41990320 42017314
"8724" "chr2" 68699613 68949347
"2363" "chr11" 33017430 33047400
"12221" "chr5" 121213925 121227668
"4720" "chr14" 21895373 22267768
"1396" "chr1" 183886241 183950111
"1356" "chr1" 181676221 181684203
"3515" "chr12" 40732033 40763963
"12065" "chr5" 104476029 104494386
"3479" "chr12" 33744550 33746661
"14674" "chr7" 149489406 149490408
"10776" "chr4" 97439362 97779083
"13061" "chr6" 65621604 65656924
"12509" "chr5" 143664794 143668403
"12172" "chr5" 116889281 116896841
"3801" "chr12" 83718485 84259799
"581" "chr1" 88282899 88284716
"15726" "chr8" 126892948 126957836
"15316" "chr8" 94322423 94325273
"14063" "chr7" 87070244 87080150
"14395" "chr7" 119823106 120043504
"797" "chr1" 127573571 127770438
"7900" "chr19" 9063773 9151409
"8502" "chr2" 20769545 20803478
"3807" "chr12" 84314737 84828658
"9415" "chr2" 180234680 180279684
"8376" "chr19" 57107753 57290522
"2115" "chr10" 116160122 116166233
"13540" "chr6" 133985724 134220165
"16436" "chr9" 73709293 73710802
"15991" "chr9" 21125188 21159472
"11784" "chr5" 66790860 67009910
"13797" "chr7" 35021732 35070628
"3292" "chr12" 8771706 8777987
"5518" "chr15" 73342989 73402672
"16352" "chr9" 65550078 65675371
"6717" "chr17" 25626819 25634198
"1907" "chr10" 80660914 80664782
"1537" "chr10" 11001171 11016763
"14701" "chr7" 150699483 150734733
"10464" "chr4" 45985271 46047631
"16420" "chr9" 71791216 71959426
"9502" "chr3" 30691797 30720185
"7909" "chr19" 10257462 10271364
"10312" "chr4" 11631603 11641898
"13306" "chr6" 94000261 94233898
"3305" "chr12" 8928112 8945547
"642" "chr1" 93829331 93903432
"4825" "chr14" 29718128 30535050
"16334" "chr9" 63800949 63869128
"16174" "chr9" 41488229 41545481
"15562" "chr8" 122223908 122281618
"12618" "chr5" 151239504 151260490
"7320" "chr17" 87788915 87827022
"12305" "chr5" 124889938 124912316
"1208" "chr1" 169156216 169215258
"7358" "chr18" 6024447 6061970
"4897" "chr14" 48092235 48151555
"16673" "chr9" 111022143 111127829
"8753" "chr2" 71586131 71588219
"13977" "chr7" 74875046 74904628
"3589" "chr12" 55279968 55304835
"15833" "chr8" 129114584 129117306
"9739" "chr3" 78915422 78977120
"7256" "chr17" 81425671 81464422
"953" "chr1" 137676010 137681677
"1748" "chr10" 60881047 60887384
"12490" "chr5" 140981562 141001192
"3848" "chr12" 87397693 87419484
"16591" "chr9" 103386768 103595137
"11245" "chr4" 141181648 141198101
"7820" "chr19" 3851772 3894367
"10315" "chr4" 11926620 11936190
"5692" "chr15" 97805401 97835076
"7651" "chr18" 57514394 57552373
"9669" "chr3" 58478870 58496310
"516" "chr1" 80642280 80755102
"13329" "chr6" 97879839 97963810
"1973" "chr10" 90610315 90633207
"6398" "chr16" 85858401 85901370
"1199" "chr1" 167693910 167705435
"7426" "chr18" 16747517 16967755
"2490" "chr11" 56825457 57143746
"8430" "chr2" 9977660 10002056
"7637" "chr18" 56591772 56663446
"3067" "chr11" 108543922 108721929
"13679" "chr7" 19876447 19881509
"11419" "chr5" 15531566 15774422
"6036" "chr16" 29907604 29946603
"1103" "chr1" 157923095 158135156
"1351" "chr1" 181458186 181476398
"1124" "chr1" 162836600 162897985
"5373" "chr15" 41542149 41652124
"7152" "chr17" 73457333 73592706
"9831" "chr3" 88287127 88297234
"10578" "chr4" 57722683 57770555
"3490" "chr12" 33987415 34053138
"9740" "chr3" 78915422 78977120
"8683" "chr2" 60599239 60719495
"3003" "chr11" 102481109 102485661
"9580" "chr3" 51028368 51055495
"16274" "chr9" 56466281 56483209
"11473" "chr5" 23825406 23835409
"2920" "chr11" 95246235 95252966
"2045" "chr10" 107599455 107714631
"14335" "chr7" 117771182 117773333
"8854" "chr2" 83564553 83647073
"10355" "chr4" 32325924 32668174
"1988" "chr10" 92916140 92947641
"3397" "chr12" 25645521 25649259
"5837" "chr16" 10600643 10744964
"8522" "chr2" 26171059 26203755
"3981" "chr12" 107248472 107315620
"6852" "chr17" 31981194 31992737
"6147" "chr16" 35155721 35304635
"1485" "chr1" 193801269 193809795
"7306" "chr17" 87153241 87230922
"7029" "chr17" 53706639 53812045
"10851" "chr4" 104829951 104905372
"11347" "chr4" 155577412 155579267
"5834" "chr16" 10530299 10543147
"7485" "chr18" 33596672 33623086
"12804" "chr6" 32461147 32465576
"6697" "chr17" 24541593 24551458
"13124" "chr6" 81873662 81909092
"15097" "chr8" 48909515 48913178
"1335" "chr1" 180728568 180862983
"4089" "chr13" 21478963 21494570
"3537" "chr12" 45953472 46175470
"1226" "chr1" 170354572 170362389
"12489" "chr5" 140484642 140797506
"663" "chr1" 95582270 95592339
"4511" "chr13" 103483637 103496711
"12722" "chr6" 21900037 21926037
"14627" "chr7" 142383447 142387685
"13964" "chr7" 74348967 74367344
"7414" "chr18" 13845867 14130229
"7709" "chr18" 65183547 65372961
"1542" "chr10" 12440616 12587969
"5686" "chr15" 97684857 97738727
"623" "chr1" 92895313 93022322
"1463" "chr1" 193175859 193220920
"4078" "chr13" 13682675 13869707
"11663" "chr5" 42016214 42099394
"11391" "chr5" 4803732 5266032
"160" "chr1" 43502595 43627357
"2631" "chr11" 65981514 66114739
"3924" "chr12" 99914951 99975615
"14762" "chr8" 11514020 11550744
"5058" "chr14" 75132190 75150250
"9054" "chr2" 135713426 135813638
"2112" "chr10" 115855176 115858291
"3654" "chr12" 73078617 73093354
"11388" "chr5" 4803732 5266032
"10860" "chr4" 104829951 104905372
"5481" "chr15" 66722954 66754761
"6278" "chr16" 50726863 50732856
"608" "chr1" 91351385 91791857
"1978" "chr10" 90627676 90634327
"829" "chr1" 132950280 132994120
"16552" "chr9" 96585841 96619864
"9351" "chr2" 167757826 167804885
"15970" "chr9" 16403823 16404246
"3810" "chr12" 85029512 85076149
"7627" "chr18" 55104535 55152245
"7707" "chr18" 65048682 65372961
"6837" "chr17" 30559682 30561386
"8729" "chr2" 69218518 69241143
"13979" "chr7" 74929610 74948382
"9629" "chr3" 52845468 53065601
"8264" "chr19" 47587471 47591068
"6911" "chr17" 35340107 35342128
"5629" "chr15" 84383827 84388253
"6628" "chr17" 12841740 12868704
"16071" "chr9" 27598853 28732633
"5345" "chr15" 38764616 38770168
"4474" "chr13" 97791818 97804317
"12456" "chr5" 138580929 138596972
"445" "chr1" 73664661 73911040
"6131" "chr16" 34651296 34678696
"5414" "chr15" 58146127 58155724
"7188" "chr17" 79152245 79168358
"14620" "chr7" 140178693 140207173
"5049" "chr14" 71651090 71670858
"9490" "chr3" 27883235 28032156
"9596" "chr3" 51465114 51486597
"13692" "chr7" 24978233 24993168
"3208" "chr12" 4249452 4483976
"9620" "chr3" 52786087 52798231
"8949" "chr2" 113926908 114001055
"2455" "chr11" 53626462 53663612
"10159" "chr3" 141966022 142054814
"8410" "chr19" 61193517 61195084
"10204" "chr3" 146067605 146103101
"9397" "chr2" 179872910 179897385
"9379" "chr2" 178080000 178142363
"4571" "chr13" 112658143 112662145
"8422" "chr2" 4480801 4534988
"4865" "chr14" 33476121 33498440
"4759" "chr14" 22838933 23397196
"2623" "chr11" 65501745 65601799
"624" "chr1" 92895313 93022322
"11687" "chr5" 51848892 51945100
"12799" "chr6" 31170430 31287394
"5164" "chr14" 121941373 122056858
"215" "chr1" 53252956 53254535
"10479" "chr4" 47399087 47427796
"9158" "chr2" 152757633 152758944
"7151" "chr17" 73457333 73592706
"6759" "chr17" 26975609 26978510
"12914" "chr6" 38668833 38692699
"12415" "chr5" 136108523 136122246
"8340" "chr19" 55816759 56007727
"16690" "chr9" 114597948 114632895
"3903" "chr12" 99440509 99497547
"9360" "chr2" 167836028 167837006
"2974" "chr11" 100406945 100433880
"5188" "chr15" 3976689 4105341
"10508" "chr4" 53530416 53563036
"4304" "chr13" 47289371 47341845
"10158" "chr3" 141966022 142054814
"6290" "chr16" 52032329 52208159
"4877" "chr14" 35405547 35413328
"4907" "chr14" 52541893 52542355
"14328" "chr7" 117451524 117483612
"1453" "chr1" 193149843 193176804
"16309" "chr9" 59817515 59988942
"14960" "chr8" 36439732 36451191
"14444" "chr7" 122614857 122945123
"9078" "chr2" 142888804 142897788
"3651" "chr12" 73078617 73093354
"743" "chr1" 121491407 121545194
"11868" "chr5" 77325266 77334525
"10082" "chr3" 121977331 121988189
"12198" "chr5" 120255337 120257878
"12561" "chr5" 148768895 149125658
"5922" "chr16" 20590218 20598540
"6939" "chr17" 42929899 43013373
"12862" "chr6" 36337380 36338917
"6521" "chr16" 93346301 93359788
"11092" "chr4" 128970361 128985803
"6145" "chr16" 35155721 35304635
"15200" "chr8" 67471083 67492932
"7478" "chr18" 32322742 32388164
"12625" "chr5" 151476401 151613245
"14830" "chr8" 22165223 22166189
"10900" "chr4" 108040381 108055954
"12812" "chr6" 32461147 32465576
"11806" "chr5" 73039034 73062317
"3431" "chr12" 31758832 31764805
"12410" "chr5" 135582782 135613792
"9004" "chr2" 125977876 125991012
"13429" "chr6" 114954398 114987892
"5183" "chr15" 3277524 3421487
"4600" "chr13" 115078857 115178251
"6723" "chr17" 25702837 25707631
"1184" "chr1" 166994154 167022061
"12915" "chr6" 38647904 38787310
"13005" "chr6" 51494549 51540669
"11346" "chr4" 155068580 155070592
"5312" "chr15" 34767135 34772092
"10567" "chr4" 57581153 57730000
"13541" "chr6" 133985724 134220165
"565" "chr1" 84530518 84692796
"3175" "chr12" 3474658 3497135
"7289" "chr17" 86567124 87054029
"15754" "chr8" 127578094 127785051
"8931" "chr2" 108932456 109118447
"1562" "chr10" 13220833 13237081
"10601" "chr4" 58449011 58512240
"9114" "chr2" 148262386 148269271
"15519" "chr8" 120807654 121847348
"7217" "chr17" 80113924 80115776
"9634" "chr3" 53317859 53326942
"11216" "chr4" 137873810 137882211
"14687" "chr7" 150238699 150253829
"862" "chr1" 134212714 134230065
"3377" "chr12" 16901783 16995080
"13500" "chr6" 120843136 120866838
"2501" "chr11" 57855021 57864709
"12568" "chr5" 149076792 149125658
"457" "chr1" 74172114 74194797
"8796" "chr2" 75670248 75767706
"1871" "chr10" 77649470 77707387
"5602" "chr15" 82180592 82184667
"12591" "chr5" 149687650 149740199
"2743" "chr11" 74972617 74973187
"14874" "chr8" 28153026 28166604
"14695" "chr7" 150479977 150487522
"1274" "chr1" 172634587 172797902
"16157" "chr9" 41184643 41240162
"6474" "chr16" 91547338 91564252
"8277" "chr19" 53150741 53158882
"7582" "chr18" 46757357 46769862
"10440" "chr4" 44049698 44068229
